"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Hace 7 meses","Puerta de Toledo es una estación de la línea 5 del Metro de Madrid (España) situada entre los distritos de Arganzuela y Centro. La estación está ubicada bajo la Puerta de Toledo, plaza donde confluyen varias calles importantes del centro como la calle Toledo, la Ronda de Toledo, la Ronda de Segovia y la Gran Vía de San Francisco. La estación abrió al público el 5 de junio de 1968 con el primer tramo de la línea entre Callao y Carabanchel, siendo reformada entre 2003 y 2004 con la colocación de nuevas bóvedas y paramentos. A pesar de la reforma carece de ascensores, por lo que no es accesible para personas con movilidad reducida. En la superficie tiene correspondencia con numerosas líneas de autobuses de la EMT, cuatro de ellas tienen su cabecera aquí. La estación tiene una curva muy cerrada."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Pertenece a la línea 5 de metro. Tiene una sola salida a la calle, la cual no está habilitada para gente con discapacidad, puesto que no hay ascensor a la superficie. Está situada en la plaza, enfrente a la Puerta de Toledo, al lado está la biblioteca pública Pedro Salinas, el mercado de la puerta de Toledo (que apenas hay tiendas abiertas y son de antigüedades) y al campus de la Carlos  III (En las instalaciones del mercado)"
"https://lh3.googleusercontent.com/a-/ALV-UjXwdPutLZUh1kH2R9rUJbUcT32YgqL3LvqsN4qXlJArzOJ0vZR-=w36-h36-p-rp-mo-ba3-br100","Alvaro Pascual","Hace un año","Viajaba en metro con una bicicleta plegable, la persona tardó más de 15 minutos en atenderme, y me dijo que para pasar tenía que plegarla. Le dije que la iba a plegar pero si era posible que me abriera la puerta habilitada para ello y no tener que cargarla plegada antes de los tornos( y con suerte no tener que bajar la escalera). Me dijo que la plegara y atendió a dos personas más (me dio tiempo hasta a hacer las fotos) hasta que al fin me abrió la puerta. No es una reseña con fines de recomendar o no un servicio, ni siquiera con afán de crítica, si no simplemente dejar constancia que un ciudadano de a pie que usa un transporte de uso público y que combina con un medio de transporte que no deja huella tiene todo en contra, no tiene respaldo o ayuda, y los trabajadores de este servicio PUBLICO hace mucho que dejaron de prestar un servicio humano de verdad. Gracias trabajadora desconocida, me has hecho un poquito más difícil el utilizar mi bici plegable(específica para estos casos) y mi transporte público al que creo, tengo derecho ( 27€ al mes lo avalan) pero quizá esto te llegue y algún día seas algo más comprensiva en tu empleo y servicio"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO PUERTA DE TOLEDO SE ENCUENTRA EN EL DISTRITO DE LA LATINA, EN EL CENTRO SUR DE MADRID. ES UN IMPORTANTE NODO DE INTERCAMBIO QUE CONECTA LAS LÍNEAS 5 Y 10 DEL METRO. ### DISEÑO Y ESTRUCTURA PUERTA DE TOLEDO TIENE UN DISEÑO AMPLIO Y FUNCIONAL, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, LO QUE FACILITA EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** COMO NODO DE INTERCAMBIO ENTRE LAS LÍNEAS 5 Y 10, PUERTA DE TOLEDO OFRECE UNA EXCELENTE CONECTIVIDAD DENTRO DE MADRID. ESTO PERMITE A LOS USUARIOS TRANSFERIRSE FÁCILMENTE ENTRE ESTAS DOS LÍNEAS Y ACCEDER A DIFERENTES ÁREAS DE LA CIUDAD. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA CERCA DE LA PUERTA DE TOLEDO, UN HITO HISTÓRICO EN MADRID. EN LA ZONA HAY UNA VARIEDAD DE SERVICIOS, COMO TIENDAS, RESTAURANTES, Y CENTROS CULTURALES. TAMBIÉN ESTÁ CERCA DE ESPACIOS VERDES COMO EL PARQUE DE LAS VISTILLAS. - **SEGURIDAD:** PUERTA DE TOLEDO ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y CUENTA CON PERSONAL DE SEGURIDAD, LO QUE PROPORCIONA UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE PUERTA DE TOLEDO POR SU FUNCIONALIDAD Y SU BUENA CONEXIÓN ENTRE LÍNEAS. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL PUERTA DE TOLEDO ES UNA ESTACIÓN CLAVE EN LA RED DE METRO DE MADRID, DESTACADA POR SU FUNCIÓN COMO NODO DE INTERCAMBIO ENTRE LAS LÍNEAS 5 Y 10. SU UBICACIÓN CERCA DE UN HITO HISTÓRICO Y SU FUNCIONALIDAD LA CONVIERTE EN UNA PARADA POPULAR Y CONVENIENTE PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO PUERTA DE TOLEDO ES UNA PARADA EFICIENTE Y BIEN EQUIPADA QUE OFRECE UNA EXCELENTE CONEXIÓN ENTRE DIFERENTES LÍNEAS DEL METRO Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y LA PROXIMIDAD A SERVICIOS IMPORTANTES Y PUNTOS DE INTERÉS."
"https://lh3.googleusercontent.com/a/ACg8ocL2KGh-mXYZ4dbVRi5-ad0EY6TSFyIqqo3PS0griBTIzQEHhA=w36-h36-p-rp-mo-ba5-br100","David Torreblanca Fernández","Hace 4 años","Monumento de Madrid, es bonito ir a verlo, pero los bonito es por la noche ya que es con las luces resalta más. Se encuentra en la parada de metro de puerta de Toledo. Puedes ir los domingos desde aquí al rastro."
"https://lh3.googleusercontent.com/a-/ALV-UjVQq80hZtWmyT1UfBZdT8NQTsiQb4V4IfiUsqPn5qE7pkna-DA=w36-h36-p-rp-mo-ba3-br100","Nuevo Rastro Madrid Asociación de Comerciantes","Hace 3 años","El recién estrenado mural de la Movida Madrileña cuyo autor, Guillermo Pérez Villalta, acaba de recibir el Premio Nacional de Arte Gráfico 2020. Un lujo para el barrio."
"https://lh3.googleusercontent.com/a-/ALV-UjVIIg4M4U2HtDXK_dOXRByy0qT71_eJdue2kgpcn5mAITS2IS2JFg=w36-h36-p-rp-mo-br100","Isidro","Hace 5 años","Estación inaccesible si vas con silla de ruedas o llevas maletas o muy cargado. Es incomprensible que no haya un ascensor hasta el vestíbulo, y otros hasta los andenes. Es una estación muy utilizada, y se utilizaría mas si fuese accesible. La estación accesible mas próxima es Pirámides, ya que tampoco lo son Latina, ni Acacias."
"https://lh3.googleusercontent.com/a/ACg8ocKF47AP-Cm2twiQ9OYyvR0fBGdDr_0Sd7eGmsDPoBNa08WLFQ=w36-h36-p-rp-mo-ba7-br100","Jesus García","Hace 7 años","Estación de metro perfecta para ir al Rastro. El principal inconveniente es la nula accesibilidad, no tiene ascensor y las escaleras son bastante altas. Aprovechando la remodelación de la línea podrían hacerla mas accesible."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Una de las estaciones que nos dejan cerca del Rastro de Madrid. Faltan accesos a minusválidos."
"https://lh3.googleusercontent.com/a/ACg8ocIdaLLOlOzEyBR6NoXflKAF72gPGxUW_wN074Nt7gGJenndDQ=w36-h36-p-rp-mo-ba3-br100","Pablo Hernández","Hace 7 meses","Es un buen lugar para tomar rápidamente el Metro"
