"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXuyrvz4GDMWGMnJT5nc9rl45f6GYJYrCMX1VAsWMdnH2UwZDNh=w36-h36-p-rp-mo-ba4-br100","Anita Diaz","Hace 4 meses","Tiene un parking muy cómodo. En la estación de ven las cigüeñas, super chulas!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjUZ-peGNY9iFZDtfwMihTa7L56qLuBuMKGCQFpV4WJO8zu-2Ts=w36-h36-p-rp-mo-ba3-br100","Gro M.","Hace 2 años","Metro Linea 9 en el cual el itinerario aproximado entre tren y tren es de 10 minutos. Consta de un amplio estacionamiento externo, al aire libre. En esta línea de metro puede acceder una persona con sillas de ruedas ya que tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjVfPsRzyhd5n_bEu4rcKd6jHP6VE_H7dWtC9M_yTqQMEnYhF2Cm=w36-h36-p-rp-mo-ba3-br100","Luis Gonzaga","Hace 8 meses","8 AM la estación llena, llegan dos vagones, no se puede entrar al metro, Piensan que somos Ganado, definitivamente Si. Los que usamos el transporte público tenemos Dignidad. USTEDES NO Que os Vote Chapote"
"https://lh3.googleusercontent.com/a-/ALV-UjWhuQntojubD_U9rixrUzGo4ZaHCn3UlTHudOuQB4tnvolry4k=w36-h36-p-rp-mo-ba4-br100","Flóki Vilgerðarson","Hace 3 meses","Buenas estación, accesible, cuidado con el parking, no tienen cámaras si os dan un golpe al coche o le pasa lo que sea os lo coméis solos."
"https://lh3.googleusercontent.com/a-/ALV-UjWT0U0p92378fdRXSV3I1RmqZWASrbuuOKBzE0nZH3wBkIDcXE=w36-h36-p-rp-mo-ba4-br100","Esther Gago","Hace un mes","Sus fiestas son espectaculares, como las de toda la vida, para todas las edades"
"https://lh3.googleusercontent.com/a/ACg8ocIIyqNL2004eo6S_Bi4f1cyNyPutXmkp11yuhI0xcWRUSAjdw=w36-h36-p-rp-mo-br100","juanjo ovied","Hace 7 años","Parada Metro línea 9, està en medio de los campos de fútbol de la Casa Grande, la màs cercana al Parque Regional Sureste. Párking grande."
"https://lh3.googleusercontent.com/a-/ALV-UjXVr8jmp9tSwrEvvxkZIH1670v2zMlMGGvxdwP17dUDcnRLF03X=w36-h36-p-rp-mo-ba6-br100","Francisco León","Hace 2 meses","Sencilla y Compacta, pero muy completa."
"https://lh3.googleusercontent.com/a-/ALV-UjVjE_cYaNWIle__H_-NKSEHrRJiiVzNxYaJQrBVkOBdX4Qs9nyT=w36-h36-p-rp-mo-ba3-br100","jeancarlos castañeda ospitia","Hace 4 meses","Comunicación rápida con vías de acceso y buenos lugares para visitar"
"https://lh3.googleusercontent.com/a-/ALV-UjVHsnZd4FeZj145bpraiXFrf95WfKj9QZ-fbw0mRSO7rT3bO9CJ=w36-h36-p-rp-mo-br100","luis gonzaga","Hace un año","8 am de la mañana dos vagones sin poder montar en el metro.. De nuevo incumpliendo servicio, maltratando a los usuarios quien es el responsable de esto. En mi trabajo ya se hubiera puesto remedio... Sustituir a estos inútiles que usan cargos públicos para maltratar a a los usuarios.. Ustedes responsables no son personal adecuado. Para dirigir este fracaso de metro el dinero público mis impuestos los. Usan ustedes para sistemáticamente maltratar."
"https://lh3.googleusercontent.com/a-/ALV-UjVMtGT4lNA1x7R_UWzLd2yFYl_7ukSyQVBx5NVB4THbAAR3knw=w36-h36-p-rp-mo-br100","Carlos Vargas","Hace 10 meses","2 vagones para esta línea que supuestamente pasa casa 9 min y tarda hasta 15 y además el día de hoy lleva 10 min de retraso en paradas sin explicación"
"https://lh3.googleusercontent.com/a-/ALV-UjW_G1zO03YNPbMVqu9mXW5mVFSa24AAGDEgN60D5QJHBz74rj3s=w36-h36-p-rp-mo-ba2-br100","Rodrigo Calleja (Rodrielrey)","Hace 3 años","Una vergüenza, venimos de puerta de Arganda unos desde cercanías Renfe y otros desde la continuación de la línea 9 de metro, pues solo dos vagones para todo el mundo, el vagón lleno,todos juntos. Imposible guardar distancia de seguridad, añadan más vagones para cumplir la ley, no creo que esto sea legal..."
"https://lh3.googleusercontent.com/a-/ALV-UjX0bGw7phAfQuoVACrAmTQOZx8obMI7E1ZNPBYwzEzzchSVswQ=w36-h36-p-rp-mo-br100","Raquel C.","Hace un año","El metro de Madrid está muy bien Pero el servicio de metro de puerta de arganda a Rivas es pésimo Falta más frecuencia o más barato Muy caro para el servicio que tiene que dar Es más barato ir a Madrid desde Paco de Lucía (Norte de Madrid) que desde Rivas"
"https://lh3.googleusercontent.com/a-/ALV-UjWerF_6SQU4P45txnpdNthCkF-Aq_e0_VNA8isURZmlnlmkpsY=w36-h36-p-rp-mo-ba7-br100","Alexandro Callegaro","Hace un año","Exelente cuidado en todos los sectores.. buena limpieza y atención de los empleados a la hora de atender y ayudar.."
"https://lh3.googleusercontent.com/a/ACg8ocJWMiONLfZY-mmsdbhItKgiczmQs_LDG3NVnGL5oBtMPLRliw=w36-h36-p-rp-mo-ba2-br100","Gean Carlos Assis De Souza","Hace un año","Facil acceso desde la autovia. Buena conexión con Madrid via metro."
"https://lh3.googleusercontent.com/a-/ALV-UjVa4V1Go5f_TAuML4tc4RJkApwP0tUanlkZibOYPMJRFpDJ4j3M=w36-h36-p-rp-mo-ba7-br100","Jorge Sanchez Herrera","Hace 7 años","Zona sur de la ciudad, junto al núcleo primigenio de Vaciamadrid. Está conectada con la línea 9 una de las más destacadas! Buena conexión con importantes centros comerciales de la zona (Leroy Merlin - Decathlon - Media Markt) Recomendamos."
"https://lh3.googleusercontent.com/a/ACg8ocKMhfux4HgvneAfSijc1pIfzPw9sTn7hQ4XrHfQd4Koiojocw=w36-h36-p-rp-mo-ba6-br100","J. Noir","Hace 7 años","Estación con ascensor perteneciente a la Línea 9 (morada) del Metro de Madrid, y correspondiente a la zona B2. Situada en la zona sur de Rivas Vaciamadrid, en lo que es la zona más antigua."
"https://lh3.googleusercontent.com/a-/ALV-UjU7PFEGWoNB_elIVltDLFO4qOFssrk3GZPGnxbASpXPWvR3TqkP=w36-h36-p-rp-mo-ba3-br100","Unatxi Kamala","Hace 6 años","Pésimo servicio de metro. Pocas frecuencias que se traducen en largos tiempos de espera, precio más caro del billete, pocos vagones y horario restringido. Horrible"
"https://lh3.googleusercontent.com/a-/ALV-UjU_TU0pBnEsP800_J-nQqLaNhVH4Sgd7FAE54Is1ndGgt6vDQJO=w36-h36-p-rp-mo-ba5-br100","Monica Relaños","Hace 6 años","Me encanta. Restaurante asiático con una carta variada y muy bien preparada. Personal muy agradable."
"https://lh3.googleusercontent.com/a/ACg8ocIAzc-5MSGMNtpRI-CKm1Qw84WiYh8b0Y54OFzEcEMNeoVcgg=w36-h36-p-rp-mo-ba5-br100","Gaspar Herman","Hace 3 años","En plena estación del metro se puede apreciar un fabuloso nido de cigüeña"
"https://lh3.googleusercontent.com/a-/ALV-UjUbnN4FS8nBZCcyK_-1F7gKpJrsmVZALCxqDzgaxLYtVFPq6tiH=w36-h36-p-rp-mo-br100","Luis Hernan","Hace 2 años","Buen sitio para pasear cerca rio Jarana y Manzanares."
"https://lh3.googleusercontent.com/a-/ALV-UjV8oLNhD8vmgXnt4k39U8IhgRLETUVdLAtGQ_6RwzaHtlB39cAQ=w36-h36-p-rp-mo-ba4-br100","Vanina Salinas","Hace 7 meses","Me gusta su limpieza"
"https://lh3.googleusercontent.com/a-/ALV-UjUvLTAdGPnb6ByVRd1vdLSwIbTwn9R6WcjOaOYSdi4BIg8ezuSKmQ=w36-h36-p-rp-mo-ba2-br100","Rosa Rios Rodriguez","Hace 3 años","Es, un pueblo, muy bonito y tranquilo."
"https://lh3.googleusercontent.com/a-/ALV-UjUvz_eRxDMgjrz-RwsK9UxNNHOrpu9loluF9BBMv4wfby-FfKE=w36-h36-p-rp-mo-ba3-br100","Premier Ibiza Services","Hace 7 años","Fácil acceso y gran parking para coches."
"https://lh3.googleusercontent.com/a-/ALV-UjVBYMcnYRYMg6LS5-acjpinOtIq0sc4ezX-9TgLd1wCDSuVxp8l=w36-h36-p-rp-mo-br100","Женя Гладкая","Hace 9 años","Muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjU69RpMpS_EXvA-U6o6zcZzt_rgXCo4RDY5llatx4ZhA_YfgOB5=w36-h36-p-rp-mo-ba5-br100","David Asenjo","Hace 6 años","Un pueblo muy bonito"
"https://lh3.googleusercontent.com/a-/ALV-UjXjOBSSDuerSvjp64o-ez98cBezLwJN-rGTb6YoBwwNrTJncgmlvg=w36-h36-p-rp-mo-ba4-br100","Victor B.","Hace 7 años","Retrasos cada poco. Va muy lento."
"https://lh3.googleusercontent.com/a-/ALV-UjXHxSJfQ9e6Cvo3aGQb_YIqiON7RtSFVfY9_GpgZ9AiM7uh6J3n=w36-h36-p-rp-mo-ba4-br100","Ionel Marian Moldovan","Hace 7 años","La estación de metro más cercana al centro comercial H2OCIO"
"https://lh3.googleusercontent.com/a-/ALV-UjWIm4HRXgu4C6fWsH3t_jhRbdxNnhd2dF_NU33iRTl-I-E8nVPn=w36-h36-p-rp-mo-ba5-br100","J.A.S.G","Hace 3 años","Buen sitio"
"https://lh3.googleusercontent.com/a/ACg8ocJuopyVxfq-4c8o6ncPPruTFgtjn2fmVXFPZl9MIxvEhBCHMQ=w36-h36-p-rp-mo-ba5-br100","David Alcázar Pérez","Hace 3 años","Una estación de metro muy chula"
"https://lh3.googleusercontent.com/a-/ALV-UjWHJGiPUURLzVEHZY5QKzf5oBnsqO159MpGFEvLdL5K48UB98IKvQ=w36-h36-p-rp-mo-ba7-br100","Manuel Vegas","Hace 5 años","Bien"
"https://lh3.googleusercontent.com/a-/ALV-UjWuI8U-3ZMqrzq56E4KOS90cF1gyaW5Jan8t-ur_-mI7aKNQHR2=w36-h36-p-rp-mo-ba3-br100","Francisco R. García Otero","Hace 7 años","Buen parking"
"https://lh3.googleusercontent.com/a-/ALV-UjXpiNW3b58dd26BvOqqmhaopGBWEXpvnNl7WGAkueezdbI3UEfK=w36-h36-p-rp-mo-ba5-br100","Jean L","Hace 6 años","Este es uno de esos pueblos que esperas encontrar en esta increíble ciudad, algo tranquilo, sin ningún ruido, piscina local, iglesia, parques, algunos cerca de lagos y no está tan lejos."
"https://lh3.googleusercontent.com/a-/ALV-UjWWfge1ZtivOuavNQNsC4UwyiULVUSf3F2FEup8OyYJl7ND7yVl=w36-h36-p-rp-mo-ba5-br100","Mokhtar El Bouzidi","Hace 5 años","Localidad en las afueras de Madrid dirección Valencia."
"https://lh3.googleusercontent.com/a-/ALV-UjUoEsRDMcdFddK4127licSj5DynyXVjJOWxB_4x4NdMRBc8Hfg=w36-h36-p-rp-mo-ba4-br100","Manolo Fernandez","Hace 3 años","Muy hermoso"
"https://lh3.googleusercontent.com/a-/ALV-UjXf9cNhL4DK8_rl1l2kXIXdV0DxEUhRr74Q3JLwNMLTUJhTHSg=w36-h36-p-rp-mo-ba5-br100","maria rodriguez simon","Hace 3 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjV7sN_5XN0hzgQKZJtGZ88dYp0IimeZGbU44X4-eRwzBDWKYUoMvw=w36-h36-p-rp-mo-ba4-br100","Daniela Campo","Hace 10 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocJ4ul0RWywPhRpcMY3Eh-OzW7-ZejLsfz_Z9pP4e3n5XSuVCQ=w36-h36-p-rp-mo-ba3-br100","Toxko Arce","Hace 11 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocJim_hjK9avEhnquHIoSUmCooqhmfJQ6uqqPztF7oVrMaeIhJU=w36-h36-p-rp-mo-ba3-br100","Paco Sevilla","Hace 11 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjW8c9lW83ya_f1IjK9Be-_8kVSYIEEK6FrQ8LvFmv2taBnWrY1-=w36-h36-p-rp-mo-br100","Tio Feliz","Hace 11 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocJGrka81OaZ8A8gjElYUnXNO2epawJW21g-2B55_YJhE3t5pw=w36-h36-p-rp-mo-ba4-br100","Marcos Martin","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjXkXNPyG5UTNXNVJTRERQ10ZUnhPV5GW6bDMVesj9QIuVyfrjwr=w36-h36-p-rp-mo-ba5-br100","J.Manuel Paris","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjUa-4kAFW1lXQdukx5W1fseqz4upnQlv1tmgaGbDDLcijYNvg8=w36-h36-p-rp-mo-ba6-br100","Rafael Márquez","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-TR1l5sgbk4oX1SaMWlbHHccq4n4qpxfiq8jHHnrJc0GZAXy59g=w36-h36-p-rp-mo-ba5-br100","Anna Bayón","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_7fo7YbJmDAIHLHgP-6M4nFoX23mwv50gvoCf4VS4CF8pFM_K=w36-h36-p-rp-mo-ba4-br100","Aitor Galisteo","Hace 3 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJ1JV96RCxWumKAkZR-kdzWyog36I3UxRanhuJ5GJbLRjMOyg=w36-h36-p-rp-mo-ba4-br100","Florin Dancu","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWlen7Jha4NpBq09xaBF0OKSnXy4upKiXeaap8pZj-aVzJwOVhF9w=w36-h36-p-rp-mo-ba5-br100","Daniel Antonio Alvarez Rodriguez","Hace 3 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIjAu1gEMg2v52R7t9TYJIzM7MQSUaH7O-VrsN2YyqfYyesiw=w36-h36-p-rp-mo-ba2-br100","Ruben Garcia","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUq-9IcrT14OvLyWsN0dhg5HCUNbKtjOKHQ-9blnBfUTuXWFtUY=w36-h36-p-rp-mo-ba4-br100","Manuel L. C.","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVcin4oO100At467EDCEPOTRl5K55_SGO7YxZLYykUv8lLf9kU3=w36-h36-p-rp-mo-br100","Roque Moreno","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXD7Sb-zWd_pAO1AHzSCdkXBTNnHGZmXo75vgUhiZp4c_SKM6ER=w36-h36-p-rp-mo-ba6-br100","Jaime Zubieta","Hace 4 años",""
