"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWV-rVJPj8oQ7sh09xQkzi-RNqSBb2iRL7_XdlzncAzQOFB4oAFvg=w36-h36-p-rp-mo-ba4-br100","Luis Díaz","Hace 2 meses","Una vergüenza el servicio de metro… hacinados como hormigas viajan los que acuden a este servicio. Lugar de propagación de enfermedades, ventilación inadecuada y poca higiene."
"https://lh3.googleusercontent.com/a/ACg8ocK7CwSxrEVcKEiWF8hEbNL0w-kOl1C8_PkkJVZYnsQS004EuQ=w36-h36-p-rp-mo-ba4-br100","Conchi Duran Lopez","Hace una semana","El metro muy limpio, pero hay muchas escaleras mecánicas para bajar y escaleras de piedra para subir andando  y esto dificulta mucho a las personas que tienen problemas de rodillas y caderas"
"https://lh3.googleusercontent.com/a-/ALV-UjVdmWXwBAid06ybsVKip_nS2KGGJhGKA6fwYr2oq6HOaJ3e6fig0Q=w36-h36-p-rp-mo-ba5-br100","Gustavo Ruiz","Hace 4 meses","Antes, con los comercios en el interior, donde se podía adquirir algo y tomar café, era más cálida. Ahora, pues como otras muchas, pelín inhóspita."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Estación de metro antigua. Pertenece a las líneas 6 y 9 de metro. Tiene cobertura móvil. Está cerca del hospital Gregorio Marañón."
"https://lh3.googleusercontent.com/a/ACg8ocLZ895_HugTPZmZ798wIV0KKCGccjgTniTeyajuVeYVtjoFFg=w36-h36-p-rp-mo-ba3-br100","Rubén González","Hace 7 meses","El anden de la linea 9 parece África te comen los mosquitos. Por favor, hagan algo. Hay agua estancada en las vías y tanto las paredes como los techos llena de mosquitos. Se oye como pasa el agua de algún pozo o alcantarillado. Estacion antigua le haría falta una reforma pero ya!! No se como nadie se queja. Usar y pagar por un servicio diario y que a nadie le importe como los vagones de metro cada vez huelen peor y están cada vez más sucios..."
"https://lh3.googleusercontent.com/a-/ALV-UjWxtakekwjDOj8MvSP6Vfy8hz1t_-DeZ_1VIaOg_H3km1qr4Vac=w36-h36-p-rp-mo-ba5-br100","Paloe","Hace 4 meses","Estacion accesible con ascensor desde la calle y escaleras mecánicas"
"https://lh3.googleusercontent.com/a-/ALV-UjUyrqs2TqYwyUZhK6e9v-kbEYlMt3NmZnTtqBI0rRi8xbScNR_h=w36-h36-p-rp-mo-ba4-br100","Angel Moran","Hace 4 meses","Estación súper tranquila con poca afluencia de personas."
"https://lh3.googleusercontent.com/a/ACg8ocKlKQvMLY8Dx6gY3otu342h9ZL4CXefYSoAEDnJ0SZnEy1Olw=w36-h36-p-rp-mo-ba4-br100","Gemma León","Hace 4 semanas","Es una estación muy complicada para encontrar la salida correcta"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 2 años","📌 Esta muy bien los accesos, lo bueno es que tiene ascensor.…"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Hace 7 meses","Estación de metro de líneas 6 y 9."
"https://lh3.googleusercontent.com/a/ACg8ocIGm1UVSeCYqkRMok24u_X890C9Z_zgRqeZP6SqncD_uazR-Q=w36-h36-p-rp-mo-ba3-br100","MELOSANSE J","Hace un año","5 tramos de ESCALERAS L 9 😆 Proximidad al centro Deportivo y Piscina Mundial 86, Centro Escolar Bachiller Montserrat y otros.…"
"https://lh3.googleusercontent.com/a/ACg8ocKiGpUfejN-1QP4Lich0kqzRIBeedhUm-rRJgDs3jMAqJVxnw=w36-h36-p-rp-mo-ba4-br100","Alejandra","Hace 5 meses","En el nuevo Vips la comida y la atención excelente"
"https://lh3.googleusercontent.com/a-/ALV-UjXJyyeoemDuZZ0LL-xLiKRWffH1eZVL1Cr80PKxEXV2r2urjFzm=w36-h36-p-rp-mo-ba5-br100","Felicidad Portillo Giron","Hace 4 meses","Muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjWY6fE96-BJeOs6wDoNWhd1VW4oT-SEM25YeOouPdfqQ6ppEEs=w36-h36-p-rp-mo-ba3-br100","emilio villacorta alonso","Hace 4 años","Bonito barrio con un gran parque para hacer mucho deporte y muy cerca del parque del retiro."
