"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 3 meses","Estación de metro que pertenece a las lineas 2 y 4. No dispone de ascensores. Hay 2 salidas a la calle."
"https://lh3.googleusercontent.com/a-/ALV-UjVRFb4Fx960MWh-uEFGgAueTh4rs7UUJUEz8HaVln1EkhZ9YS8D=w36-h36-p-rp-mo-ba3-br100","Engerber Paz","Hace un mes","Una vergüenza el servicio luego de las 12 de la noche, sencillamente apagan la pantalla y te dejan esperando 10/15/20 min lo que les salga a ellos y ni se te ocurra reclamar porque el malo eres tú. El metro va de mal a peor."
"https://lh3.googleusercontent.com/a-/ALV-UjUjijtYlnMxdghjud5YbeD_NxxMuWs8tYv-3GtEZ7QIoSHjn8R-kg=w36-h36-p-rp-mo-ba5-br100","Carmen F","Hace 5 años","Adoro este edificio de la Plaza San Bernardo...con su estructura piramidal, el jardín de cada terraza y la hiedra colgando, la fuente en el medio de la plaza, me fascina. Zona transitada cerca de otro sitio bien conocido , Plaza Bilbao, nudo entre Alberto Aguilera y Fuencarral: restaurantes, pubs, bares, tiendas, teatros etc"
"https://lh3.googleusercontent.com/a/ACg8ocIe8SbAHfUtE1JzppzXAoNxuBxx7eOiAWeUmEOqIUiCJZNKNA=w36-h36-p-rp-mo-ba6-br100","Monalisa Rayada","Hace 5 años","Una de las estaciones por la que se accede a Malasaña, hermosa rotonda con fuente y arquitectura señorial."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 3 años","Tiene dos accesos/salidas. Falta de ascensores. En esta estación podemos acceder a las líneas 2 y 4 del Metro de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Hace 6 meses","La estación esta genial, en la zona hay muchos bares y da a plaza España"
"https://lh3.googleusercontent.com/a-/ALV-UjUZlDLzrReJfJSSDhTtcu5TmYBlSX9uT0ZsMSuN5NUZn8stfoCaaA=w36-h36-p-rp-mo-ba4-br100","Neska Polita","Hace 3 años","Son mi vida y mi latido y aunque por desgracia ya ,os juro que hay momentos a lo largo del mi vida, tiene que ser así para sobrevivir ,"
"https://lh3.googleusercontent.com/a-/ALV-UjVjRoYkIWQdpptZlyZATMyYea5wtGZQAXpzDcmsCR7_7vH2mQX9rg=w36-h36-p-rp-mo-ba7-br100","Jorge Salgado González","Hace 2 años","Glorieta con fuentes y entorno verde"
"https://lh3.googleusercontent.com/a-/ALV-UjV16gHSb-QQgx_3kCgfiAvuRuzhihpnNe2lCta3xosDFfwdv8E6GQ=w36-h36-p-rp-mo-ba6-br100","Gamo","Hace un año","Cerca de cines, restaurantes y bares de Malasaña. Como toda estación de Madrid, cuando llueve se vuelve caótica y lenta la frecuencia. Además de aparecer charcos dentro de la estación"
"https://lh3.googleusercontent.com/a-/ALV-UjUYd4MtTSShlAZTdDW7ukfVz3IWgrifeMuPw0SAGYX5C1BQNWjPyw=w36-h36-p-rp-mo-ba5-br100","Inma Andrés","Hace 5 meses","No hay ascensor y montón de escaleras"
"https://lh3.googleusercontent.com/a-/ALV-UjWby7_BNwEkzVljJUVi9duEDACxlejWzxhGP5-PSuRagtmhKI3AIg=w36-h36-p-rp-mo-ba6-br100","juan carlos hurtado delgado","Hace 2 años","Está empezando a tener otra vez, Vida. La Pandemia cerro muchas Tiendas, pero están empezando abrir Nuevas. Me gustaría que entré todos, nos ayudemos y hagamos que los Comerciantes. No nos hundamos. Tengo mi pequeño taller y apoyo a mi vecino. Esa es la única manera de Seguir. Visitemos Madrid, como uno de fuera. Disfrutando"
"https://lh3.googleusercontent.com/a-/ALV-UjVmd2w8nlkmhv0KzaR_kkezF6Io_kLgOjvZotitivFfMX-LIfAICQ=w36-h36-p-rp-mo-ba7-br100","Julián Martín","Hace 4 años","Es una plaza de Madrid muy céntrica. Tiene de todo a su alrededor: el parque de plaza del Conde de valle de Súchil, cines, etc Es de resaltar un edificio ejemplar de hormigón con jardines colgantes. Es una magnífica muestra de arquitectura vanguardista del Siglo XX. Magnífica comunicación, Metro, autobús."
"https://lh3.googleusercontent.com/a-/ALV-UjVQwWRBt2LV6in6eYjRFn4aRVxnSaE_lucPxFbWwJMq_CLTPO59=w36-h36-p-rp-mo-ba7-br100","カステロロシオ","Hace 5 años","Estación de metro de San Bernardo. En RL distrito centro, Chamberi. La estación tiene dos líneas de metro; línea 2 y 4. Las dos son bastante viejas, necesitan una remodelacion.…"
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w36-h36-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Hace 3 años","Preciosa estación de metro. De las más bonitas de Madrid. Situada en el clásico y burgués barrio de Gaztambide."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 2 meses","Estación de las más clásicas del metro de Madrid, tiene su encanto"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Excelente ubicación"
"https://lh3.googleusercontent.com/a-/ALV-UjXd1CPQuP3_0E0cIGYGvwC5tKgLQr2-u8KCLWn8Lc1MYaFfobRc=w36-h36-p-rp-mo-ba3-br100","Adonisdlcv","Hace 7 años","Lugar maravilloso para hacer fotos al atardecer"
"https://lh3.googleusercontent.com/a-/ALV-UjWGu-Z39F9cPLzH9LflQooNv6U_lcLkN2PJHumrddhYizfG_fSA=w36-h36-p-rp-mo-ba3-br100","Francisco Javier Barrero Garcia","Hace un año","Peluquería par señora y caballero con excelente trato al cliente"
"https://lh3.googleusercontent.com/a-/ALV-UjWzQG28-9r0s2MWknhEpSWS8mrx_xZfLf-QQL0UNFG3nYyfALP-=w36-h36-p-rp-mo-ba2-br100","Yassin Desuani","Hace un año","Buena estacion, limpia y sin mucho atasco"
"https://lh3.googleusercontent.com/a-/ALV-UjUgZMJ8UpdvIXAZCibhcDbFS4FN2KwVc5yw9jWLjqy06x0GSEE-=w36-h36-p-rp-mo-ba5-br100","Jordi Sillero","Hace 6 años","Resulta muy fácil guiarse a través del metro si eres de fuera. Podrían tener iniciativas así para otras ciudades como un metro conjunto Terrassa-Sabadell."
