"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWfBBLN3gFC8Ll9hru-iL6zClJ538W1-Jv1MXgxvEvyGPyTrxg=w36-h36-p-rp-mo-br100","Rafael Villa","Hace una semana","Buenas estación. Cerca de la estación Hospital 12 de Octubre por si ocurre alguna urgencia. Estación normal, bonita. no he estado muchas veces pero las que he estado me ha parecido una estación bastante buena."
"https://lh3.googleusercontent.com/a-/ALV-UjVHP8BfSez3y9HMCkHP-fd2P3oEzu2p_ky_R-gGTW4pgHoAujtD=w36-h36-p-rp-mo-ba6-br100","Iván Sáez","Hace un año","Moderna estación de metro de Madrid, pertenece a la línea 3 que une Villaverde Alto con Moncloa , tiene acceso para personas con movilidad reducida , ascensor al vestíbulo desde la calle así como otros dos hacia los andenes ."
"https://lh3.googleusercontent.com/a-/ALV-UjVBycTk-lBSJNHG5LlLC1gQoemEHzxVaEyZYjmjGch_Do3ZIRtH=w36-h36-p-rp-mo-ba3-br100","Marcela Paoli","Hace 2 meses","Los vecinos marcan la diferencia. Otro barrio precioso de Madrid: a darse una vueltita y comer en Burger King de Av. Andalucía 😉…"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","📌 Tiene dos salidas, una parte con ascensor con fácil acceso a personas de movilidad reducida.…"
"https://lh3.googleusercontent.com/a-/ALV-UjVvtz-01HKnChLaGNkic8nAjTVLAZ69LArDiieotLU4dssTvXiAZg=w36-h36-p-rp-mo-ba3-br100","Carmen Barrios","Hace un año","Es un lugar bonito, agradable y tranquilo"
"https://lh3.googleusercontent.com/a-/ALV-UjW7-m3FQwCJPlv2zsLtORfL2DTbg9XK0JcwL1nQQH1VC-2nLayEaA=w36-h36-p-rp-mo-ba5-br100","Iván DM","Hace un año","Un barrio obrero pero con mucho encanto. San Fermín además tiene una colonia muy pintoresca, estilo pueblecito."
"https://lh3.googleusercontent.com/a/ACg8ocK7B-QZFFYis0xzl_avPbV3mCweIHXgd0A8bByWThfgxvm4Ow=w36-h36-p-rp-mo-ba3-br100","Andres Portaro","Hace un año","No tiene un área adecuado para aparcar los coches y menos para las personas discapacitadas, le falta aéreas con protección al sol y lluvias"
"https://lh3.googleusercontent.com/a-/ALV-UjU4_P5-5HDeJC_iCwWu2Pt7I-HO1k0Oe2pC8j5KsELULo1t3-rGkA=w36-h36-p-rp-mo-ba4-br100","LILI OBREGÓN","Hace 6 años","Estación de metro sin más de la L3 fuera tienes muy cerca la parada el bus 85, 56, 22 y nocturnos N13 N14... van a villaverde alto o bajo y san cristobal ... etc . No hay cobertura en el anden Suele haber guardia"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 2 años","Estación de metro que pertenece a la línea 3. Dispone de 2 salidas al exterior, además de ascensor y cobertura móvil."
"https://lh3.googleusercontent.com/a-/ALV-UjWf47KFth5AQr3LxIzQHOnmpZbfoegXte1lkyL89l1eHclOq7HH-g=w36-h36-p-rp-mo-ba5-br100","pau fortuny batet","Hace 6 años","Cuando tienes prisa y surge una incidencia, buscas al operario para que solvente la incidencia y no saben por dónde empezar. por la tarde al revés, no hay nadie y el punto de información no está disponible por las tardes ni los fines de semana."
"https://lh3.googleusercontent.com/a-/ALV-UjUxcWjz_Bf_fujtooNm7InxWPao6BZ7hYt35t9y7DnJ7Ak8iZn7=w36-h36-p-rp-mo-ba3-br100","KatDom2214 AV","Hace un año","Muy bonito el lugar"
