"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIwVi5e_JHu8kmdfhhBWbsLsGQ_lTmJ5zIzkd6neW2V3RFISw=w36-h36-p-rp-mo-ba8-br100","Juan Antonio Jiménez garcía","Hace un mes","Estacion. En la cual aparte de las personas que viven allí. Es donde gran parte del madridista se desplaza para llegar al campo de sus sueños. HALA MADRID."
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w36-h36-p-rp-mo-ba7-br100","K","Hace 2 semanas","No es accesible. Para la afluencia de público que hay cuando se celebran partidos, es una estación muy pequeña."
"https://lh3.googleusercontent.com/a-/ALV-UjV2bYo1FKJasq_5VTGf9N3WPPo14TCJq_Ks4nyB3kycvyWKiP8u=w36-h36-p-rp-mo-ba3-br100","Juan Rodríguez Millán","Hace un año","Inconcebible que una estación tan céntrica, que coge el nombre de un estadio que se está reformando con miles de millones y que acoge partidos a los van casi 100.000 personas, además de estar junto a un centro empresarial, no tenga todavía hoy un ascensor y que lo único que sabemos es que lo tendrá antes de 2028, y eso si se cumple el plan de Accesibilidad de Metro."
"https://lh3.googleusercontent.com/a/ACg8ocK_JnF89UEmrlRVDqdDfogonmdhFj6Dxa2nLxTDHynHQV9Lyw=w36-h36-p-rp-mo-br100","Honestidad Implacable","Hace un año","Día 11.11.2022 Hora 16.35 Los que van vestidos de seguridad de color naranja (2 personas por llamarles de alguna manera, con pintas bastante malas) son unos incapacitados, se reían y no se movieron de su punto de apoyo en la pared,  no ayudaron una familia con carrito y bebé que no pasaba por el torno, se reían y decían que toquemos la campana a voces nos gritaban y vicecanciller de malas maneras muy desagradable todo, la gente les miraba, lo hicimos tocamos la campana y tampoco nos ayudó otro incapacitado por el interfono, si no les gusta trabajar que se queden sin trabajo! la atención al público debe ser valorada ellos no la tienen! A la calle a reírse de las personas que asco de gente"
"https://lh3.googleusercontent.com/a/ACg8ocLflei0TGR6V_PD4HjnJXChqDIBHzhwvYJBowGxwIlzomAw-g=w36-h36-p-rp-mo-br100","Raúl Hernández “Rulo1987”","Hace 10 meses","Cada dos por tres no funcionan las escaleras mecánicas!!"
"https://lh3.googleusercontent.com/a/ACg8ocJP7qODKcng6r4GYk01YuIuHBmwPphJbkZ_72eRYzstC9dA5w=w36-h36-p-rp-mo-br100","Yeram Mariscal Rojas","Hace un año","No hay una maldita semana que no tenga estropeadas unas escaleras mecánicas"
"https://lh3.googleusercontent.com/a/ACg8ocKwbZ4__DDyJ0vRJAHuLmwcFeeOrMvjRc8RXQm0j2dvViCgP_xc=w36-h36-p-rp-mo-ba2-br100","Jose Maria Camacho Ramirez","Hace 4 años","Estaría bien unas letras pintadas como las de portazgo"
"https://lh3.googleusercontent.com/a-/ALV-UjXdPXNF7ThfwsOimjHH2cWp0Z3uMxGlPLkxJ6TNTZLT5sPi4CMP=w36-h36-p-rp-mo-ba5-br100","Лъчезар Ангелов","Hace un año","Una obra tremenda"
"https://lh3.googleusercontent.com/a-/ALV-UjWfsFuE79km_BK0aJ9ds64dN6N9bEOrc78NfxT1BGbhpp9oGLw=w36-h36-p-rp-mo-ba6-br100","Ramkrishna Pudasaini","Hace 5 años","Muy bonito paisaje nocturno"
"https://lh3.googleusercontent.com/a/ACg8ocJnBOji7Smm-lSOOn9X2NNSJcgk3GodLmpKo7zfgJdmvYvkiQ=w36-h36-p-rp-mo-ba4-br100","julian bustamante","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocK8Yx6T2GvLYhLM2EBqg6tHhYFUH8qS2Tw7r60jGKYHVtmQYg=w36-h36-p-rp-mo-br100","Roda Nyoni","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWbrZMsQ4HPDImpKSpguAMzldOKVfXhhrT_M8rcXTTTI8P5ZxR3=w36-h36-p-rp-mo-ba4-br100","Fran Soler","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU5bjU_F9UYkozkgq4bbbAO66GNpnIiWsQ4l0fM4ak8QgICGbE=w36-h36-p-rp-mo-ba6-br100","Pegavueltas con la cámara","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWr7l1uM0kPBRZjdlznYDlhb4u2o14jn8DY5zorReERqYSfBpru=w36-h36-p-rp-mo-ba4-br100","Tsvetan Nedialkov","Hace 6 años",""
