"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Pertenece a la línea 4 de metro. Es de las estaciones más antiguas de metro. Los trenes pasan con bastante frecuencia y raras veces hay incidencias en esta línea. Está en pleno barrio de Salamanca (sitio de bien)."
"https://lh3.googleusercontent.com/a-/ALV-UjXbEgVhG9L9F_LQwP1OmCGM6IGIGfL8R1ur41EzsGP8C_nGav3J_A=w36-h36-p-rp-mo-ba6-br100","Uxía Blanco Pérez","Hace 5 meses","Han puesto la estación muy chula"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Las dos salidas del metro da hacia la Plaza de Colon."
"https://lh3.googleusercontent.com/a-/ALV-UjUlVOVBt_QuAjV9SMy7iRvyIUCRXBSGbPRFICz15Gi3hLUR7nYR=w36-h36-p-rp-mo-ba4-br100","German Linayo","Hace 6 meses","Excelente la atención que recibimos allí La pasé muy agradable en el lugar."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Junto a la Plaza de Colón y el Centro Cultural de la Villa Fernán-Gómez. No tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjW6FrS1P85uCrgbFupia2lXMVi7ytZyJZPOlcWIrGlulIXbc2xb=w36-h36-p-rp-mo-ba5-br100","Javier Ondategui","Hace 7 años","Suelo viajar con una bicicleta plegable (muy plegable, una Brompton), y en el Metro de Madrid me suelen poner problemas; a diferencia del metro de Barcelona, donde hay espacios en los vagones destinados al efecto. Europa sigue quedando lejos. Hay que mejorar."
"https://lh3.googleusercontent.com/a-/ALV-UjUMxdlKWbtNEa8ms3ULO-edJimIG2AYmHSroHlGA61NrOCl7YLs7A=w36-h36-p-rp-mo-ba4-br100","Beatriz César","Hace 7 años","Parada de metro en la que puedes encontrar por calles cercanas una gran variedad de tiendas de ropa tanto de marcas como Prada, Gucci etc como h&m y Zara. También gran variedad de cafeterías y restaurantes para todo tipo de bolsillos. La estación es un poco antigua y no dispone de ascensores, es de dificil acceso para minusválidos ."
"https://lh3.googleusercontent.com/a-/ALV-UjWoGDxvMnOmLpeqAn1bupK6xDtctr80MeZQlUSm3Yc4nZSNA-9Q=w36-h36-p-rp-mo-ba6-br100","Gem_ Guijandul","Hace 7 años","Me gusta su actividad, las tiendas, los bares, cafeterías y demás servicios para todos los bolsillos. Es una zona que frecuento y donde me siento bien, el Retiro muy cerquita y grandes profesionales muy cerquita como mis chicas de Cop Copine ¡ mi debilidad! , o las de Luxury Pets que dejan preciosa a nuestra pequeña Mica."
"https://lh3.googleusercontent.com/a-/ALV-UjWVywR0g7y0Cy3dBPGFLCoiuHLAXWlQzObEJXYSDv5-NKI_788=w36-h36-p-rp-mo-ba7-br100","Guillermo Fernandez","Hace 2 años","Un servicio magnífico aunque la Comunidad de Madrid lo abandone cada vez más. Esperemos que la cosa cambie y se cuiden los servicios públicos como de merecen."
"https://lh3.googleusercontent.com/a-/ALV-UjXV1PDjHNoIcZAyphWs0Qc9HS2EHeKcb47szTd7Sqz05GVMfZpq=w36-h36-p-rp-mo-br100","Doge","Hace 7 meses","la mejor parada (nunca he estado, soy de barcelona)"
