"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 11 meses","La actualización ha quedado muy bien, tiene un buen ascensor con fácil acceso para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjXG35ugLhkQqTKrelnv7c0unQEMYG7JAxgkV5gSs-BW1N1_46fV9Q=w36-h36-p-rp-mo-ba5-br100","Alberto S","Hace 4 años","Han vuelto a abrir la estación y la han dejado muy bien. Han puesto ascensor han quitado una de las salidas pero han hecho más grande la otra. Lo malo es que la salida que han dejado está bastante mal situada, lo que provoca que bastante gente cruce por dónde no debe para evitar dar toda la vuelta."
"https://lh3.googleusercontent.com/a-/ALV-UjVyRGgfAC8-6vQ_kxjOQnUTf_KNwbi3Yhv4SZD0GvWiHcRQ3B8FaQ=w36-h36-p-rp-mo-ba5-br100","Samara Andino","Hace 8 meses","Lleno de vida, de sitios de interés, tiendas de primeras marcas"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace 5 meses","una chica de sevilla me partio el corazon, ahora pienso en ella cada vez q paso odio mi vida, 5 estrellas"
"https://lh3.googleusercontent.com/a/ACg8ocJr9nsuk9A7tNIGE7FwvePU8SoLOoV5_jovSPzk02I0FT7a=w36-h36-p-rp-mo-ba6-br100","Marta P","Hace 8 meses","Popular calle del Madrid antiguo que ha sido rehabilitado hace poco tiempo, hay dos nuevos hoteles de 5 estrellas, el Marriott y el Four Seasons y la galeria comercial Canillejas con tiendas de lujo y diferentes bares y restaurantes en su planta baja."
"https://lh3.googleusercontent.com/a-/ALV-UjVXo8pHTwlbafTuQ3pSBXi93qwNzUloQf5SUoAq2YnGX6roOZJl=w36-h36-p-rp-mo-ba5-br100","Irene López","Hace 5 años","La estación remodelada está bien, aunque tiene dos fallos bastante grandes: la boca de metro está en la peor de las ubicaciones en que podían ponerla, y no han puesto escaleras mecánicas para acceder de los andenes al vestíbulo aunque haya un ascensor para cada uno de los andenes (ya sabemos con qué frecuencia suelen estar estropeados los ascensores de Metro...)."
"https://lh3.googleusercontent.com/a-/ALV-UjXxRMaK_514vRo-kx_Wa3SlRbzCSPrh4l64vXiD-pjqcbLrmF84=w36-h36-p-rp-mo-ba4-br100","Andrea","Hace 10 meses","Estación de Metro recién actualizada, a la que han añadido un ascenso. Está bien ubicada y situada para la zona centro."
"https://lh3.googleusercontent.com/a/ACg8ocLB0vcHCeknlu7VWpVK7ikzVvN01wS09fF54Jo4MhJjuuWg1w=w36-h36-p-rp-mo-br100","Jesus Murcia cobo","Hace un año","Le doy una estrella(por no poder dar cero)...al vigilante que tienen allí, al señor mascachicles....vaya imagen y vaya educación y saber estar...con este ejemplo de ""vigilante""...a sí nos va!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjVzebepBcka9rOTrnZZ6j91Gq38rKe8-UHmF35qok0C7UNyn-bh=w36-h36-p-rp-mo-ba3-br100","Carol","Hace 5 años","ESTA ESTACIÓN ESTÁ CERRADA DESDE EL AÑO PASADO. No dan alternativas a los que trabajan en la zona, han cerrado también las paradas de Sol, Banco de España, y Gran Vía. TODAS LAS ESTACIONES DE METRO PRÓXIMAS A ESTA ZONA SE ENCUENTRAN CERRADAS. Tampoco se puede acceder con el coche por lo del protocolo de contaminación. Espero que vuelvan a abrirlas próximamente o busquen soluciones."
"https://lh3.googleusercontent.com/a-/ALV-UjXetegDEEj10WpoKaqaqG27Pjhp3Eq_HFgq_UQjz-q6tWt_ZFo6Zg=w36-h36-p-rp-mo-ba5-br100","Dav B","Hace 8 años","Estación de Metro que te deja en una de las zonas más espectaculares de Madrid. Eje Gran vía, Sol, Calle de Alcalá y Barrio de Las Letras. No mires al suelo, admira las fachadas y estatuas que escoltan a los caminantes."
"https://lh3.googleusercontent.com/a-/ALV-UjWgSmYTTWgD5sacMeA0n6fjzI5VyBDHv0pg240UuJQquiwDmTaOZA=w36-h36-p-rp-mo-ba6-br100","Alicia García Ramírez","Hace un año","Estación de metro sin más. Cerca de Cibeles, las Cortes, Sol, Plaza Mayor... zona turística y de tiendas"
"https://lh3.googleusercontent.com/a-/ALV-UjXxIVTlh3o0vY4WG74fi1mHG5MXzbGsuD-VMwH7VG_KuKMFqy4diw=w36-h36-p-rp-mo-ba4-br100","Javier Villaverde","Hace 2 años","Zona preciosa para pasear cerca de Puerta del Sol, con su emblemática calle de Alcalá como alfombra de entrada a la Plaza de la Cibeles y barrio de Salamanca, un paseo inmejorable e histórico"
"https://lh3.googleusercontent.com/a-/ALV-UjVboxqbds5pFap8cAla3NFX9AnnY90Aa0TEAd8NeTpsqXmD5sxVWA=w36-h36-p-rp-mo-ba6-br100","Feli sito","Hace 5 años","Abierta de nuevo desde el 31 de mayo dde 2019. Han instalado tres ascensores: uno con acceso a la calle y dos de acceso a los andenes."
"https://lh3.googleusercontent.com/a-/ALV-UjVsdZFFgvq8S0JztbhJX30KN1G98Q6NyhhntWAANys5bwRRq3Lrmw=w36-h36-p-rp-mo-ba4-br100","MARIBEL MESON","Hace 3 años","Se trata de la Calle Sevilla de Madrid. En pleno centro, esquina con la calle Alcalá y calle Sevilla que lleva hasta la Puerta del Sol y Plaza de Canalejas, respectivamente. El edificio es el Hotel de lujo  Four Seasons"
"https://lh3.googleusercontent.com/a-/ALV-UjWrSR2lyl_-2sNsiJM0GW2ctNgYOFJo1y9Ks0B8PNx7m0MJz3Df=w36-h36-p-rp-mo-ba3-br100","Pepi Espasameri","Hace 6 años","Mi experiencia me pide que repita , es tan bello todo que hasta mirar una simple piedra la ves hermosa , pero para saberlo mejor visitarlo . Lo cmpruebas por ti , te aseguro que vuelves. Te encandela y te envuelve como si de embrujo Andaluz te enrredara. Mmuchas bellezas por descubrir."
"https://lh3.googleusercontent.com/a/ACg8ocK2K0hGATPescQd8zThvaIdS4dd5n9PNhAUkvSajuAD4WXz5w=w36-h36-p-rp-mo-ba4-br100","Cristina","Hace un año","Ciudad preciosa, siempre voy por trabajo, pero me encanta la ciudad y su gente, te hacen sentir como en casa"
"https://lh3.googleusercontent.com/a-/ALV-UjXZvLSsNBRFGbyUYDL6nMASZCvkORkuE9hJRE8_z3Nh6apzdAM=w36-h36-p-rp-mo-ba3-br100","alex Noguera","Hace 2 años","Bonitos colores con los cristales del andén el cual me parece un buen elemento de seguridad sin arruinar la estética"
"https://lh3.googleusercontent.com/a-/ALV-UjWLNo5uhuKmLk80vBxfSx6x5_fAWQtMauZ2WQ0td-L5wRZa-kIq=w36-h36-p-rp-mo-ba4-br100","Rodolfo Cisneros","Hace 2 años","Súper agradable y muy concurrida ideal para llevarte el mejor recuerdo de Madrid 🇪🇸…"
"https://lh3.googleusercontent.com/a-/ALV-UjWfB6ZjjbwCsK4GzqJ732LTToUkRaxSvOmSYKsbpftuJASBQAB-=w36-h36-p-rp-mo-ba5-br100","Moises Ardila","Hace 2 años","Muy buen lugar, su vista de edificaciones, y molduras en las fachadas es hermosa"
"https://lh3.googleusercontent.com/a-/ALV-UjVh6VlAGRR2fY3RKPqXqz6OdVIt8Q0Qwh8zu5VCxMRptdKiHpwwLQ=w36-h36-p-rp-mo-ba6-br100","javier playa gonzalez","Hace 3 años","En estos momentos falta la alegría que da la gente, el turismo, un poco de bullicio. Pero como las obras que han tenido lugar están llegando a su fin, la zona está bonita."
"https://lh3.googleusercontent.com/a-/ALV-UjXx2yAVqEm02W1ccGv5y3sxPddskAZxt6QEt65_YJqdnj9ak9-j=w36-h36-p-rp-mo-ba6-br100","Jorge Juan Morante","Hace 5 años","Ha quedado muy chula Sevilla con la reforma, me gusta las fotos y los planos antiguos y que hayan rescatado un antiguo anuncio en azulejos."
