"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w36-h36-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Hace 7 meses","Estación de metro de la línea 5 en pleno canillejas. Está situada en la calle Alcalá n⁰ 527. En esta estación sólo transcurre una línea: la referida cinco, y tiene dos direcciones: Alameda de Osuna y Casa de Campo. El andén está limpio y en horario de trabajo, no suele encontrarse concurrido."
"https://lh3.googleusercontent.com/a-/ALV-UjVsRum1l50nNlvz-FuQfhazq4TXa0RKQuIJSoACxcoHlmyz02en=w36-h36-p-rp-mo-ba4-br100","Juan Manuel Ramos","Hace una semana","Con varios CEEs cerca, deberían agilizar la instalación de un ascensor, que llevan años pero no entra la estación en el plan nunca."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO SUANZES SE ENCUENTRA EN EL BARRIO DE SUANZES, EN EL DISTRITO DE SAN BLAS-CANILLEJAS, AL NORTE DE MADRID. ES UNA PARADA DE LA LÍNEA 5 DEL METRO. ### DISEÑO Y ESTRUCTURA SUANZES TIENE UN DISEÑO MODERNO Y FUNCIONAL, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, LO QUE FACILITA EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE SUANZES OFRECE UNA BUENA CONEXIÓN A TRAVÉS DE LA LÍNEA 5, QUE PROPORCIONA ACCESO A DIFERENTES ÁREAS DE MADRID. TAMBIÉN ESTÁ BIEN CONECTADA CON OTRAS FORMAS DE TRANSPORTE PÚBLICO, COMO LAS PARADAS DE AUTOBUSES. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL, CON ACCESO A VARIOS SERVICIOS LOCALES, COMO TIENDAS Y RESTAURANTES. ES UNA ÁREA TRANQUILA Y RESIDENCIAL, MENOS BULICIOSA QUE LAS ZONAS MÁS CENTRALES DE MADRID. - **SEGURIDAD:** SUANZES ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y CUENTA CON PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE SUANZES POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN CON LA LÍNEA 5. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL SUANZES ES UNA ESTACIÓN PRÁCTICA EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL TRANQUILA. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO SUANZES ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL TRANQUILA."
"https://lh3.googleusercontent.com/a-/ALV-UjUS0B1_xvlTI4SVPNW2UGWmb1PJyJiQIdfm3tyaSHnLtkcG2ZCtLA=w36-h36-p-rp-mo-ba5-br100","ALONSO BETETTA","Hace un mes","Ayudaría mucho el implementar ayuda para el tránsito de discapacitados,  teniendo en cuenta que hay gente qué trabaja en Ilunion/Once"
"https://lh3.googleusercontent.com/a-/ALV-UjUtQPAVumkngFbpqd6LbtWYKTiSO5L-PN5CBbNA_-uOHQfdkOISBg=w36-h36-p-rp-mo-ba6-br100","Antonio","Hace una semana","Precioso parque.  La quinta de los molinos"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Tiene dos accesos/salidas, uno a cada lado de la calle de Alcalá. El lado de los números impares nos deja a las puertas del Parque de la Quinta de los Molinos."
"https://lh3.googleusercontent.com/a/ACg8ocKikRnUE9Z9DSYcEnlFVmCKHMBPy0PQOkJCcNI3idcn14Fj7w=w36-h36-p-rp-mo-br100","Montaña Pedrera","Hace 5 meses","No es accesible. Me parece fatal que no tengan ascensor. Y encima te dicen que te aguantes.."
"https://lh3.googleusercontent.com/a-/ALV-UjUsgDayBU8UUHud96dSfy4KBr8rpUuF2evnXBzvbJ6a0afS-BhS=w36-h36-p-rp-mo-ba5-br100","EVA SOUZA MARTINEZ","Hace 2 meses","Muy limpia y poco concurrida"
"https://lh3.googleusercontent.com/a-/ALV-UjU9pmuXhvuKyKrTSfS6vvK61Ycv0xftDqAyxCV2Lq6e2Mw3c09-=w36-h36-p-rp-mo-ba2-br100","Nixgur","Hace un año","Es una vergüenza lo llenos que van los metros tanto a la ida como a la vuelta que no puedes poverte ni 1 cm que la gente sigue entrando. No pueden ir tan llenos de normal y mucho menos en pandemia. Aumenten la guardia para restringir la subida de alguna forma porque es insostenible."
"https://lh3.googleusercontent.com/a-/ALV-UjVeQ6McjjHVSH1sZiZOq_i0S0xnZ7dcYvkJIGFg_U6HZLC6VAw=w36-h36-p-rp-mo-ba4-br100","Nancy Belga","Hace un año","Está muy bien, solo pasa la linea 5 pero es justo la que va al centro de Madrid. Está muy cerca de algunos hoteles, en plena calle Alcalá.  Hay cajeros para recargar los viajes."
