"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w36-h36-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Hace 3 meses","Llevo más de cinco años utilizando esta parada. Se encuentra en buen estado y limpia. Sólo tiene una salida por cada vía de origen y destino. En cambio, si cuenta con dos bocas de entrada separada por un semáforo. Pertenece únicamente a la línea 5 de metro. Nunca la he encontrado concurrida."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO TORRE ARIAS SE ENCUENTRA EN EL BARRIO DE TORRE ARIAS, EN EL DISTRITO DE SAN BLAS-CANILLEJAS, AL NORTE DE MADRID. ES UNA PARADA DE LA LÍNEA 5 DEL METRO. ### DISEÑO Y ESTRUCTURA TORRE ARIAS TIENE UN DISEÑO FUNCIONAL Y MODERNO, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, FACILITANDO EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE TORRE ARIAS OFRECE UNA BUENA CONEXIÓN A TRAVÉS DE LA LÍNEA 5, QUE PERMITE ACCEDER A DIFERENTES ÁREAS DE MADRID. TAMBIÉN ESTÁ BIEN CONECTADA CON OTRAS FORMAS DE TRANSPORTE PÚBLICO, COMO LAS PARADAS DE AUTOBUSES. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL, CON ACCESO A VARIOS SERVICIOS LOCALES, COMO TIENDAS Y RESTAURANTES. ES UNA ÁREA RELATIVAMENTE TRANQUILA Y RESIDENCIAL. - **SEGURIDAD:** TORRE ARIAS ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y PRESENCIA DE PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE TORRE ARIAS POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN CON LA LÍNEA 5. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL TORRE ARIAS ES UNA ESTACIÓN PRÁCTICA EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL TRANQUILA. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y PRÁCTICA PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO TORRE ARIAS ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL TRANQUILA."
"https://lh3.googleusercontent.com/a-/ALV-UjVTjW1ypCEYaE6yWM71fBMToaqn_3viF5lexkkWSx4uazXOh4hIHw=w36-h36-p-rp-mo-ba4-br100","Gerónimo Díaz","Hace 8 meses","Buena estación de Metro pero carece de servicios de accesibilidad para personas de movilidad reducida o para carritos de bebé. Afuera en la calle, si ha helado o llovido el suelo es resbaloso, hay que tener cuidado."
"https://lh3.googleusercontent.com/a-/ALV-UjUAOAGks5x0BPRx61W1ZEnEc6bk5x8wzjjYI3PMexUmCf8ZKUWTdw=w36-h36-p-rp-mo-ba4-br100","samer carrion","Hace un mes","Es un sitio bonito y tranquilo, hay gente pero no tanto como en otros sitios"
"https://lh3.googleusercontent.com/a-/ALV-UjWQ55vPhyTq7YNE_ziI8hKf0adeQS7LpLyOztE0TpEPG9bfpsYy=w36-h36-p-rp-mo-ba5-br100","Juan Nunez","Hace un año","Un bonito parque histórico que debería cuidarse y mantenerse para el disfrute público, defendiéndolo de la especulación."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 3 años","📌 Sería ideal si tuviera ascensor para personas con movilidad reducida, ojalá se actualice más adelante.…"
"https://lh3.googleusercontent.com/a-/ALV-UjWby7_BNwEkzVljJUVi9duEDACxlejWzxhGP5-PSuRagtmhKI3AIg=w36-h36-p-rp-mo-ba6-br100","juan carlos hurtado delgado","Hace un año","Es una parada de metro de las de hace 45 años. Está bien, pero no tiene para silla de ruedas. Tiene sus buenos peldaños, tanto para bajar como para subir"
"https://lh3.googleusercontent.com/a-/ALV-UjWzY6yORY63axNztK0mYtTAfofjgq4F9181Blgo6PwZoV-X7xJN=w36-h36-p-rp-mo-ba5-br100","Juan Ramirez","Hace 4 años","Estación de Metro Torres Arias, perteneciente a Metro de Madrid, situado en el barrio de Canillejas - San Blas, en Madrid ciudad. Recorre por ella la linea 5 del metro, color verde que hace el recorrido desde Casa de Campo hasta Alameda de Osuna, se rumorea que lo van a ampliar hasta el aeropuerto, si es cierto que aún a fecha de hoy está cerrada la estación de Gran Vía en el recorrido de la línea, que unía con la línea 1, azul, situada en el centro de Madrid en unas de las calles más conocida de Madrid. La estación siempre se encuentra Limpia y en buena condiciones, aunque si que falta acceso para discapacitados en silla de rueda. Es una estación segura, ya que siempre hay vigilante de seguridad y personal de la empresa Metro de Madrid trabajando y dando asistencia, ayudando a los viajeros, con una amabilidad, correctos, con una gran sonrisas y disposición a  los diferentes usuarios que necesita que le ayuden. En la salida de la estación se encuentra también paradas de autobuses por lo que complementa bastante las conexiones y la usabilidad del uso del transporte público de Madrid. Consiguiendo que se pueda usar todos los servicios colectivos, menos contaminante para el medio ambiente y por un precio correcto. Para poder usar el servicio, hay distintas modalidades, desde abonos mensuales, hasta para billetes sencillos. Para los turista hay un abono para un uso como su nombre indica turistico. Por eso es una opción cien por ciento recomendable por mi parte y le doy la máxima puntuación."
"https://lh3.googleusercontent.com/a/ACg8ocLpeXga7PKIr3jOn8DOiNkGwO4zJOAYqJFuC-ABW6sLylXe1Q=w36-h36-p-rp-mo-br100","Ibrahim Vicuña","Hace 2 años","5 estrellas enteras para LOURDES. Gracias a ella y a su diligente y amable trabajo logré dar con mi abono que lo había perdido por Callao, sin saberlo y ella me brindó la información. He visto además que es muy maja y eficaz con otros pasajeros y situaciones. Capital humano de calidad"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Estación con dos accesos/salidas, uno a cada lado de la Calle Alcalá. Carece de ascensores."
