"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocKg9jaj8W1WJg9l9JqAuE6BRkOI2-iSka8icIIsymQ7IU_qtA=w36-h36-p-rp-mo-br100","Giancarlo Cuevas Ledesma","Hace una semana","Sois unos irresponsables, como puede ser que tengamos que salir de trabajar a las tantas corriendo para llegar a tres olivos,  que el cartel ponga 2 minutos y cuando llega el metro diga que no admite pasajeros, el siguiente viene en 11 minutos y cuando llega nos dejáis dentro 10 minutos más para salir, parece que lo hacéis queriendo macho, que hay personas que queremos llegar a casa y no tener que tener que ir a Cibeles porque ustedes quieran. Dais vergüenza!!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjXkUDcty2ZptPMh-np9zpv8B1Jg-jFY-8GJfEYTtQRReYtSLkKK=w36-h36-p-rp-mo-br100","Alfonso Basco","hace 6 días","Si vas a algún sitio con prisa, Tres Olivos es la estación a evitar. No hay explicación razonable a por qué al llegar un tren, en vez de esperar 15 segundos a esos pasajeros, el otro tren se vaya rápidamente antes de que puedan subirse.Y tengan que esperar un promedio de 6 ó 7 minutos hacia Infanta Sofía. En verano, fines de semana o en las noches, puede llegar a 15 minutos de espera, porque no se les ha esperado 15 segundos para que puedan subirse. Llevo décadas usando el Metro en Madrid y es un metro excelente en comparación con el de muchas otras ciudades. Pero Tres Olivos, al margen del cambio de tren, es la estación peor organizada de todo el Metro. Los cambios de tren en hora punta son (evitablemente) caóticos al no haber tornos suficientes, y en horario normal también hay problemas: el tren se queda parado sin avanzar a 20 metros de la estación (esto ocurre muy a menudo), o el conductor se queda un buen rato con las puertas abiertas sin arrancar (y no para esperar al siguiente tren, ya que luego sí arranca rápido cuando llega el otro tren sin que nadie pueda subir), o cuando por fin llega el tren después de mucho esperar resulta que ""no admite viajeros"", o que haya que ir al andén de enfrente y todo el mundo agolpándose subiendo y bajando escaleras para no perder el tren que está en el otro andén, o que el conductor se lo tome con demasiada calma paseando hasta la cabina para poner el tren en marcha, ya que no hay ninguna prisa para él... sí para los pasajeros que llevan 10 minutos esperando. Tres Olivos no es como un trasbordo entre diferentes líneas de Metro. Es mucho peor: en tiempos, en mala coordinación, en gente muy nerviosa por el caos de esta estación... Veo a diario personas mayores, o con niños, o con necesidades especiales para las que esta estación es un gran reto. No hablo solo de que hay que cambiar de tren (lo cual ya de por sí es un trastorno y no tiene sentido al no ser cambio de zona/tarifa), sino de los múltiples fallos evitables que tiene el uso de esta estación. ¿No es posible pensar un poco más en los viajeros en esta estación? ¿Tan difícil es coordinar la llegada de un tren con la salida del otro? ¿Cuesta tanto poner más tornos? ¿No es posible que cuando un tren no admite viajeros, el siguiente tren tarde un poco menos, en vez de un poco más (como suele ocurrir)? Lo de esta estación es un despropósito, y no es casualidad que varias personas conocidas que viven en zona norte, han acabado cambiando el metro por el coche por los inconvenientes de Tres Olivos. [En la imagen, la espera tras un tren que se ha ido mientras bajábamos del otro, y no ha sido capaz de esperar 15 segundos para evitar que todos los pasajeros esperemos 15 minutos]."
"https://lh3.googleusercontent.com/a-/ALV-UjWSb35j8JqeD0Va4sU-QDWaJclYlb0anxWfqvF_Smo_4Nj_EdpT=w36-h36-p-rp-mo-ba3-br100","Sara Niño","Hace 4 meses","Un infierno de transbordo. Todos los días se te va un tren en las narices (digo yo que están en contacto unos con otros y saben cuándo llegan y se van), algo que no es casualidad… parece hecho para enfadar aún más al viajero, que tiene que ir aguantando que el metro se pare en el túnel y que vaya hasta los topes (tren corto). No llegaría el dinero para hacer algo un poco mejor… Claro que para otras cosas sí hay dinerito."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Sinceramente me parece una tontería cambiar de tren para seguir en la línea 10 hasta otras paradas, además de tener que pasar por tornos que no tienen ningún sentido, siendo la misma zona tarifaria, pero bueno. Salvo eso la estación es amplia, moderna, está habilitada para gente con discapacidad y está limpia."
"https://lh3.googleusercontent.com/a-/ALV-UjUr0poA5093LFm8_97hULGULh2crXP_wv7s4Lsgk0vHp4YXKyU=w36-h36-p-rp-mo-br100","Ignacio","Hace 2 meses","Una vergüenza de estación . Tienes que ir a trabajar y salgas antes o después de casa , toooodos los días tienes que ver cómo los trenes se paran en los túneles , los trenes no admiten viajeros ...y esto no ocurre en esta estación sino varias estaciones antes. NADIE te dice nada por megafonía. Cliente de metro desde siempre y en el trayecto entre Begoña y las Tablas se ríen en tu cara .el intercambiador no tiene sentido y para cuando llega el metro ya han aparecido otros cuatro por lo hablar de lo lento que va a veces . A ver si mejorais el servicio que los vamos dentro LO PAGAMOS."
"https://lh3.googleusercontent.com/a/ACg8ocKm4h2-RYGYnCuct1MM_H5fgRvwjwYGhkGlcCB3_TN0Fv2q8Q=w36-h36-p-rp-mo-br100","Eduardo","Hace 5 meses","Un desastre. La peor estación de Madrid. Se pierde muchísimo tiempo entrando a la estación y cambiando de tren. Pocos trenes y mal coordinados en un lugar siempre a reventar en las horas punta. Puedes llegar tarde a trabajar aunque vayas con tiempo de sobra. Horrible."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","📌 Varias veces he utilizado esta estación y no hubo retrasos.…"
"https://lh3.googleusercontent.com/a-/ALV-UjXN_8lqZwvWDE74pWGuKtN8T-Z0Z0XB0ObVFxmYncca5qwLmULnPQ=w36-h36-p-rp-mo-ba8-br100","David Gutiérrez Sacristán SPAIN","Hace 4 años","Línea 10 de metro. Lo único malo que hay en la línea 10 en la zona norte es que hay que hacer un cambio de tren."
"https://lh3.googleusercontent.com/a/ACg8ocLOWeBacLXa93iswccHHeW2kpdTg7ZmNBN2b-Vq_nXY-1hN9Q=w36-h36-p-rp-mo-br100","arantza bouzas","Hace 10 meses","Estáis cobrando por hacer transbordo quién viene de la línea 10 de las tablas un viaje más? No tenéis vergüenza."
"https://lh3.googleusercontent.com/a-/ALV-UjVg219GHs16_3IQvPWnkQ4rSLHeNLNM3PkE3I8lYhvp_5D7_3Om=w36-h36-p-rp-mo-ba5-br100","Agoraht 21","Hace un año","Para entrar a Metronorte, tienes que validar un viaje en zona B1. Tiene sentido que exista esa zona tarifaria, lo que no tiene ningún sentido es que para entrar en cualquier estación de Metronorte tengas que validar un viaje desde B1 y al llegar a Tres Olivos tengas que validar otro viaje adicional para poder continuar. Ya te están cobrando la zona tarifaria B1 que es más cara porque cubre un trayecto más largo. ¿Qué sentido tiene entonces que te cobren un viaje de B1 y luego otro viaje adicional?"
