"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Pertenece a las líneas 1 y 10 de metro. Es una estación antigua, sin habilitar para gente minusválida. Los vestíbulos son estrechos. El caso es que está bien comunicada en el centro, con el municipal justo al lado y las salidas a la calle Fuencarral, la cual tiene muchas tiendas."
"https://lh3.googleusercontent.com/a-/ALV-UjVgjMQG56Be2SNOpc6ToSbPxN8VZEvT5ovUSlAIJO9OtYLAfQxL=w36-h36-p-rp-mo-ba5-br100","Luis Daniel Fernández Montilla","Hace 6 años","Ubicación privilegiada si vienes de turismo, arquitectura espectacular, muy Bohemio, cuenta muy cerca con museo histórico de Madrid en pleno centro de la ciudad, rodeado de excelentes bares y restaurantes. Muy bien comunicada al contar con línea de metro 10 y 1, así como con líneas de buses a los alrededores."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","📌 Muy buena la actualización, tiene un ascensor sobre la Calle Barcelo para personas con movilidad reducida.…"
"https://lh3.googleusercontent.com/a-/ALV-UjUCWYSG4aNh7sqaM-TeIB9wxuQF-XvwyhrJRM0u57qAoSu3fc0W=w36-h36-p-rp-mo-ba2-br100","Diabos_","Hace 3 semanas","Cuidado con las escaleras, son mejores de lo que parecen, parada bien conectada, cerca de muchas tiendas y no está muy llena"
"https://lh3.googleusercontent.com/a-/ALV-UjXO9ugZGmxnfMMpfy8CAXjDXXo0E1YiW0qcCp3-oEcEzjPajLoN=w36-h36-p-rp-mo-ba5-br100","Chloe y Lucas","Hace 6 años","Mi ex-barrio, bohemio, nostálgico, alegre y ruidoso. Ciertos bares abusan de eso y tienen precios para personas ""guays"" demasiado caro. Línea 10 de metro te lleva ,y tienes cerca la calle Fuencarrall, sin duda de lo mejor q hay en Madrid Centro."
"https://lh3.googleusercontent.com/a-/ALV-UjX5RmMcQjTfVL3f3JW6i2PwPQQv26i78F7BT7VSq7EnRcQn0k-p=w36-h36-p-rp-mo-ba5-br100","Abel Marin","Hace 4 años","Una parada que está aún por reformar, aparte de eso es una parada muy atractiva ya que te para cerca de muchos museos y sitios de interés cultural de Madrid, si pillas la línea 10 tendrás varias escaleras mecánicas hasta subir a la calle."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 2 meses","Parada muy clásica en Madrid, un intercambio muy largo y complejo"
"https://lh3.googleusercontent.com/a-/ALV-UjWrJ76Z0DOFxgc9mUBpzbuJQ3rbYiSDOEpEWM35uhDf5c2AQlY6Sw=w36-h36-p-rp-mo-ba5-br100","M. B.","Hace 6 años","Es una zona con muchas opciones de arte museos, ocio y compras con destaque para la céntrica calle Fuencarral desde onde se puede acceder al Malasaña, Chueca, y otros barrios."
"https://lh3.googleusercontent.com/a-/ALV-UjXJCRDBREzildTNVQR7frsuRNsiMdc8baSiOPWf9N0lu0kvY6um=w36-h36-p-rp-mo-ba4-br100","Pere Borras Jover","Hace un año","Buena parada i con la line 10"
"https://lh3.googleusercontent.com/a-/ALV-UjXMtiFUz4muCxCAQ47Irt0iODe7O8q5b7b6O8UZeskZ2xAAd2d8XQ=w36-h36-p-rp-mo-ba3-br100","LILIAM PEREZ","Hace 5 meses","Excelente"
"https://lh3.googleusercontent.com/a/ACg8ocKCyQVZdVjPf_3nGErNWzcT3Q_MAQ9qzwCrHVjiWTOx1vhckw=w36-h36-p-rp-mo-ba4-br100","Daniel Sdn","Hace un año","Han puesto musica ambiente y esta muy bien, el trasbordo a la linea 10 es mas largo que un dia sin pan, y los tornos estan rotos aunque eso da igual porque la mayoria de usuarios pasa sin picar"
"https://lh3.googleusercontent.com/a-/ALV-UjVaZqXEDZpQsyURWzu4e4w3D3Iid-BuzeDkRXY4dgSkxNPH6GqB=w36-h36-p-rp-mo-ba6-br100","Eva Rey Quirós","Hace un año","Eterno trasbordo, andenes un poco anticuados, pero muy funcional. Aunque si no conoces la estación, acabas subiendo escaleras como un campeón."
"https://lh3.googleusercontent.com/a-/ALV-UjXVr8jmp9tSwrEvvxkZIH1670v2zMlMGGvxdwP17dUDcnRLF03X=w36-h36-p-rp-mo-ba6-br100","Francisco León","Hace un año","Una plaza emblemática y muy concurrida pero con muy poca sombra y pocos espacios verdes para ir con niños pequeños."
"https://lh3.googleusercontent.com/a-/ALV-UjVq7xjjlXZyZydQmnpAlEvkt8B7rxk1gLCvb08rgkt27nFvR9Gq=w36-h36-p-rp-mo-ba5-br100","Claudia Sánchez Gómez","Hace 2 años","Siempre está concurrido y hay buen ambiente. Hay muchos bares, restaurantes, tiendas, pubs, etc. Da igual el día de la semana que siempre hay planes para hacer por la zona. El metro está bien comunicado con varias líneas y se puede llegar andando a Gran Vía en 5/10 minutos."
"https://lh3.googleusercontent.com/a-/ALV-UjUiTBNw-EWzOSwJG_zheFPAhf4-3SX18lN6fto1TwVPzIhnbG4f=w36-h36-p-rp-mo-ba4-br100","José Rafael Aranguren","Hace 8 meses","Me gustó el acierto de su ubicación para acceder a sitios históricos como el Museo de historia"
