"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXhs9YJmy35KJo_-0ieFpcGgEBBM3OF6ThY2dMe7e9vDruH1sRG=w36-h36-p-rp-mo-br100","Mar C","Hace 2 años","Estación de metro que pertenece a la 1. Es una parada que pertenece a la prolongación de la misma línea. No suele estar muy transitada de gente. No está mal ubicada. Dispone de ascensor y cobertura móvil. Solo tiene un acceso a la calle."
"https://lh3.googleusercontent.com/a-/ALV-UjVqiU1zHO4f0_spq2slypgZ_tEAjaqaF_vSx3usnEfSzk76VkPwgA=w36-h36-p-rp-mo-ba5-br100","TipsDiet TUPESOSANO","Hace 5 meses","Cerca de valdecarros. Centro de adelgazamiento. Sin pastillas ni complementos. Tipsdiet TuPesoSano Avenida de Palomeras,143."
"https://lh3.googleusercontent.com/a-/ALV-UjXZqWkqIPDqbd54eiozHIdlAIl1h3ESWNxu6TaSsKwwdy4-ci6a=w36-h36-p-rp-mo-ba4-br100","José luis Perez ortega","Hace 7 meses","Estoy en un restaurante Venezolano llamado Merecumbe está cerca de la estación Valdecarro también puedes llegar en el Bus 142 y el 145."
"https://lh3.googleusercontent.com/a-/ALV-UjVWm8_si2BlBJYmEPgiIvGTmQEEMjWQoldH_eHDyOHtP1OkO2ID=w36-h36-p-rp-mo-ba4-br100","Jose M. París","Hace un año","Una verguenza de parada, a ver si solucionais las maquinas a la hora de pagar con tarjeta e incorporar lo del contact porque al introducir la tarjeta en las dos maquinas no me leia la tarjeta del banco con lo cual no he podido recargar, he perdido dos metros y me he tenido que colar para no llegar tatde al trabajo y encima no hay personal que te pueda atender, asi que tu te lo guisas tu te lo comes, lamentable."
"https://lh3.googleusercontent.com/a-/ALV-UjUXFC8s-uYIGmtZU9mH1UZlUIbIcGqBh3Pho20VF4n_dKLbzHE7=w36-h36-p-rp-mo-ba6-br100","DANY YOLI","Hace 6 meses","Estación de Línea 1.."
"https://lh3.googleusercontent.com/a-/ALV-UjVs_AQdIw7ede4AlEDtcI-YGFDK22_XGHHmRGM35dhWnAD17seU5g=w36-h36-p-rp-mo-ba6-br100","Felipe Adrianzen","Hace 4 años","La estación de metro de Valdecarros es muy tranquila. Es uno de los extremos de la línea 1 de metro, identificado con el color celeste. Va de Valdecarros hacia Pinar de Chamartin, pasando por el centro de Madrid como las estaciones de Atocha, Sol, Tetuán y Plaza de Castilla. En las fotos se aprecia un bello arco iris formado por la fuente de agua y los rayos del sol en el mes de marzo."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace 5 meses","maja pero no me liaria"
"https://lh3.googleusercontent.com/a-/ALV-UjXyVrEUrF3-Q_AlaZDsp3s2UEBlX-x8KJK1iV6KNyeOIWk8fM4elQ=w36-h36-p-rp-mo-br100","pedro vallejo","Hace 3 años","La parada de Metro de Valdecarros no esta ahi. Es la última parada de la linea 1 y se encuentra al final de la Avenida Ensanche de Vallecas y no sobre la M45 como se ve en el mapa"
"https://lh3.googleusercontent.com/a/ACg8ocIU3ZIQYd3qLfHa_nKIUD8MxndNcNz1zsf7MTs-TVDEVSyqXA=w36-h36-p-rp-mo-ba4-br100","Wiliam Parra Llanos","Hace 4 años","Vivo en ésta zona, aunque tengo que criticar a la empresa que se dedica a la limpieza de las papeleras, brillan por su ausencia; están llenas de toda clase de desperdicios, especialmente de caca de perros y esto conlleva a malos olores."
"https://lh3.googleusercontent.com/a-/ALV-UjW7S3oBAHFU9M88913y8HdZ9vru66QIJ3Apv38YJwiLv4j_Pfaj6Q=w36-h36-p-rp-mo-ba5-br100","Francisco Viscarri Diez","Hace 2 años","Última estación del Metro 1 desde Pinar de Chamartín, limpia, segura,amplia e iluminada, Enhorabuena Metro de Madrid cuidando las instalaciones"
"https://lh3.googleusercontent.com/a/ACg8ocJufdWVX8fUHzQ7P6LVnPqFHM3CTK_Vukr-5itR8p0UdXdH-Q=w36-h36-p-rp-mo-ba6-br100","Rafael Viñuela","Hace 5 meses","Una buena estación de metro"
"https://lh3.googleusercontent.com/a/ACg8ocJyfqmaak9fFL2GwWVZOQsxT8-Mw61SUPayT3dwzQIfcVSe6Q=w36-h36-p-rp-mo-br100","Lucia Castaño Martín","Hace 5 años","Por Dios que cambien ya la los trenes de la línea 1. Va de norte a sur pasando por Vallecas. Es angustioso y asqueroso montarse en esos trenes viajes. Pagamos un dineral por los abonos."
"https://lh3.googleusercontent.com/a-/ALV-UjUBZqocwzNbhdMan2mCWIc9esyERFJV0AzYMn1nR1JjAW633J-1=w36-h36-p-rp-mo-ba3-br100","Luis Miguel Villegas Granados","Hace 2 años","Es una estación de metro amplia y con buenas escaleras mecanicas"
