"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUeLlxsgEukjYKBfsdkkccp0tSYrzeW9FuzdZT6atld8823R_tIiw=w36-h36-p-rp-mo-ba4-br100","Juan Antonio Lopez","Hace 2 meses","Estación de metro Madrid de una arquitectura vanguardista para sus 20 años. Imágenes @Jalocam"
"https://lh3.googleusercontent.com/a-/ALV-UjU5LdvmcmpWR2Z3JJlo6Z8CjgH2Ehh2fjY88L7pgqwT3wsA4quk5g=w36-h36-p-rp-mo-ba2-br100","jbatu","Hace 4 semanas","Con disculpas a la compañía de Metro porque no es su culpa. De vez en cuando hay bandas en la salida de la estación que se dedican a robar, sea la hora que sea (específicamente en la salida de San Restituto, cerca del parking)."
"https://lh3.googleusercontent.com/a-/ALV-UjW3jX9zWkkQwYG3AwM0UgpglZNA0P_6Tjqm88Ol-PBpBAkTHtVV=w36-h36-p-rp-mo-ba5-br100","George I. King","Hace 4 años","El interior de la estación es muy interesante. Bajando las escaleras tenia la sensación que estoy en una nave cósmica de estas que he visto en las películas. En general es una estación grande con mucho espacio y con acceso fácil para gente con dificultades. Todo limpio y buena señalización incluso el sistema de Braille."
"https://lh3.googleusercontent.com/a-/ALV-UjXJWmP8mIih2cn4po60iZrL8LRUlgueBH_lolGK4QeAJkqUg7OPww=w36-h36-p-rp-mo-br100","Angel Luis Lantigua","Hace 6 meses","Como a casi todas las estaciones de metro, le vendría bien un baño. Además no creo que esté habilitada para personas con movilidad reducida. Al menos no vi ningún acceso para eso."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 2 años","📌 Tiene fácil acceso para personas con movilidad reducida, al salir te encuentras con un parque de niños.👍🏻…"
"https://lh3.googleusercontent.com/a-/ALV-UjVOihmWVmsMDBdLVi1OJy8D2wRnsdi0yEj5mzW5NrYF8zV45FKBQw=w36-h36-p-rp-mo-ba4-br100","Marcos","Hace 5 meses","Estación de metro muy espaciosa y de arquitectura llamativa que da servicio al barrio del mismo nombre a través de L7."
"https://lh3.googleusercontent.com/a-/ALV-UjWOp8UakxkmYpVcHees3UhzP0RqYu30xeZo4t0I4CwDrTx5jgk=w36-h36-p-rp-mo-ba3-br100","Francisco C","Hace un año","Me atiende en taquilla una empleada muy amable, pelo blanco/rubio desconozco su nombre. Menos mal que aún hay gente atendiendo en las estaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjVj3A9RifEkkWXKsmj0DASo60vmPyZEDMZr7mKx7ovcrN1wBLPT=w36-h36-p-rp-mo-ba4-br100","Fakerina Chan","Hace 3 años","está muy bien, pero no tiene acceso de puerta grande al pasar la tarjeta, solo puertas individuales. Viene mal para cuando tienes bultos grandes o silla de ruedas."
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w36-h36-p-rp-mo-ba3-br100","Court","Hace un año","Estética espectacular y limpieza de 10. La zona es tranquila y agradable."
"https://lh3.googleusercontent.com/a-/ALV-UjXkByR-XAdwxKsydwTVeuLWZkdD6P1xKMejJGi6lr2SYFjNHa_H=w36-h36-p-rp-mo-ba3-br100","Amaury Acevedo","Hace 5 meses","Muy bien"
