"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Le falta una buena actualización con ascensor"
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 5 meses","Parada de metro con varias salidas en ella, necesita una reforma para adecentarla a los nuevos tiempos Es sencilla"
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Hace 6 meses","La estación esta genial, hay muchísimos bares chulos aquí"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Situada en el corazón del barrio de Salamanca. No tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjW_Znf1SYOrZUA5by1DhrhAEba2qd17LrZ70VBEnF8OwUaYWpUf=w36-h36-p-rp-mo-ba4-br100","Óscar josé Fernández Vergara","Hace 7 años","Sales a la Calle Goya, llena de cafés, escaparates, transporte, Iglesias ubicadas en el Barrio de Salamanca."
"https://lh3.googleusercontent.com/a-/ALV-UjXliOIrDoLAHaBnz4RY3dm5X2LWMZalLB8Y5-dUP57Cp2rLfHM=w36-h36-p-rp-mo-ba5-br100","Daniel Navarro","Hace un año","Podría existir un pasadizo para hacer transbordo de Príncipe de Vergara a Velázquez o a Goya sin tener que pagar viaje de nuevo."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 5 años","Estación de metro que pertenece a la línea 4. Tiene 2 salidas a la calle. No dispone de ascensores. Dispone de cobertura móvil. Suele estar siempre transitada de gente."
"https://lh3.googleusercontent.com/a/ACg8ocK_LPimLR0LdeWViRPuOINivhiziFZIVUa8nu2F-R0Xz_mhJh97=w36-h36-p-rp-mo-ba6-br100","Aries Vocal","Hace 2 años","Como estación de Metro está bien equipada y la frecuencia del transporte es buena. Siempre hay empleados en función del trabajo que se genera en la misma."
"https://lh3.googleusercontent.com/a/ACg8ocLRqcnyGAtVY63H3EpICeMNhCCZNzPw8ApfYNpH-J3gPPPIOQ=w36-h36-p-rp-mo-ba4-br100","Caio Emanuel","Hace 3 años","Es una estación clásica de metro: con sus goteras, un anden medio apagado y sin ninguna pantalla de cuando viene el próximo tren. Pero es una estación de metro :)"
"https://lh3.googleusercontent.com/a-/ALV-UjU3F4N2TY9Rx9CStnEck6l6bK8dcuMvBbkSPGDmpbFjWmRBSfHy=w36-h36-p-rp-mo-ba5-br100","Sebastian Paduano","Hace 6 años","Una pena que no tenga cobertura, aún así es perfecta para echarte una cervecita antes de entrar a la sala Goya."
"https://lh3.googleusercontent.com/a/ACg8ocIBzFhKj5pPsXKEzR-qj1JuphF6JH0iLngWxaBta2AaWZIo=w36-h36-p-rp-mo-ba3-br100","Maria Casela Pedrero","Hace 5 años","Un clàsico de Madrid, muchos comercios, cervecerías, cafeterías. Ideal para callejear e ir de compras."
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w36-h36-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Hace 3 años","De las estaciones más clásicas e ilustres de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjXZnk6Y5EvFBeIV8akLJBGil8gXTvyMdFpjAOGMLAxrw4hKc5KQwg=w36-h36-p-rp-mo-br100","Rosa Fdez","Hace 6 años","Es una zona tranquila y agradable. Love el barrio de Salamanca"
"https://lh3.googleusercontent.com/a-/ALV-UjU9QN-OWbOjqOp32L8zzahs4S8dWx1qR92XhFlblHr6bhYei_fkWw=w36-h36-p-rp-mo-br100","Jose Enrique Marin Fernandez","Hace 8 años","la línea 4 es muy artística, prueba de ello el nombre de esta estación"
"https://lh3.googleusercontent.com/a/ACg8ocKRiVUet_z4h6tJ1EuAyfL_L8xNwFa0rCGBZg_dttqcBMJIYQ=w36-h36-p-rp-mo-ba5-br100","Antonio Morales López","Hace 3 años","Es una de las mejores calles de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjVjjObCQbEDFapl2OvEo3I9hzbnumpYJcm20udLB9TLPpjRhB06Xw=w36-h36-p-rp-mo-ba5-br100","Daniel Bathory de Ecsed (dabathory)","Hace 3 años","Muy chic la zona"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","Velázquez es una estación del servicio de metro de Madrid línea 4 en el distrito Salamanca en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjWcUQ6R21siCEUJD0ekh9pVU8GHl6YdD5-4K930Noq_bPUdZSos=w36-h36-p-rp-mo-ba4-br100","Aurora Herrera","Hace 7 años","Funciona correctamente y está bien comunicado"
"https://lh3.googleusercontent.com/a-/ALV-UjVTE3nX7beiPsXxUBdURrPSkb5B0XN1QjrgJblP6aCpzSgSZveL=w36-h36-p-rp-mo-ba4-br100","Silena Delgado","Hace 6 años","Iglesia Anglicana en pleno centro de Madrid."
