"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVPfvEClHwRpW-HcOZzjZa3ii4jJplkSiM6Zs603sJZMCCbPmNY=w36-h36-p-rp-mo-ba4-br100","Cesar González","Hace 3 meses","Excelente plaza de toros, visita obligatoria para turistas por su belleza. Deleite de los aficionados a la tauromaquia, y de la que por su puerta grande han salido las mejores figuras del toreo a hombros. Ícono de la capital Madrileña y acompañada en sus alrededores por bares y restaurantes en comunión con la tauromaquia"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Hace 5 años","La estación no dispone de ascensores ni escaleras mecánicas, sus salidas están frente a la plaza de toros, dispone de cobertura móvil, y cuenta con dos líneas la 5 y la 2."
"https://lh3.googleusercontent.com/a-/ALV-UjXcBv5OccMOCvusRtQnnBxO2R-LqNoE1ZG4U8aSDG3vur63SQumHw=w36-h36-p-rp-mo-ba6-br100","NANCY EDITH GOMEZ FIGUERA","Hace un mes","Está bien, limpia a pesar de estar en obras en la acera, mucha gente y un poco más fresca que otras estaciones (por suerte!)"
"https://lh3.googleusercontent.com/a-/ALV-UjV9wx-s1RRMi8kcGtwK0wgzLQny9NxZ-mxxiYKftMTYtdJjrRSd=w36-h36-p-rp-mo-ba6-br100","Eduardo Herranz","Hace 2 años","No tiene ascensor (ni escalera mecánica) por lo cual quien va en silla de ruedas no puede coger este metro ni salir en esta estación de metro, algo que es increíble que sea así en una estación de metro tan TURÍSTICA, al lado de la plaza de toros. Tiene las líneas 2 y 5 de metro y al lado de la M-30. Tendría que mejorar con la construcción por lo menos de un ascensor para los DISCACITADOS físicos."
"https://lh3.googleusercontent.com/a-/ALV-UjWmafhmLF4damZiPF8gK1-BiRJteHDbb_JR56_MVi4-GkPHOA4AwA=w36-h36-p-rp-mo-ba6-br100","Bruno Rodríguez Armesto","Hace 2 meses","Salida al lado de la propia plaza de toros. Líneas 2 y 3. Sin acceso de ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjXO9ugZGmxnfMMpfy8CAXjDXXo0E1YiW0qcCp3-oEcEzjPajLoN=w36-h36-p-rp-mo-ba5-br100","Chloe y Lucas","Hace 6 años","Algo que me ha alucinado es ver la señal de accesibilidad en el andén del metro.. Cuando ni siquiera existen escaleras mecánicas..Q broma de mal gusto.."
"https://lh3.googleusercontent.com/a/ACg8ocI6o1KFBbEePgl3EJTza0QAgID_urQhuQzup3hZYAqnwuzESA=w36-h36-p-rp-mo-ba3-br100","Michael Wickham","Hace 10 meses","Seguimos en el metro de Ventas con grandes problemas de accesibilidad. No hay escaleras mecánicas ni ascensores, en un lugar turístico tan emblemático y con tanta gente mayor en la zona este del distrito de Salamanca y Ciudad Lineal. Hay alguien allí???"
"https://lh3.googleusercontent.com/a/ACg8ocL7a8WpdF-5LdjisV0G7q2lPUlR8CTNjznOvkQwQxHFO0AZhQ=w36-h36-p-rp-mo-ba6-br100","Jesus Arevalo Herrero","Hace 9 meses","La primera plaza de toros del mundo, se puede visitar y pisar el albero, además el Museo Taurino que alberga el coso, entrada desde el patio de caballos, es gratuito, muy recomendable pars los aficionados por las joyas que atesora"
"https://lh3.googleusercontent.com/a-/ALV-UjVOxTzVuU3DzKD_xDt2llq47ro0PupzXodA-Pi_SBA3hzMjVlBdYQ=w36-h36-p-rp-mo-ba6-br100","Raul Domínguez Galache","Hace 6 años","Estación de metro de las líneas 2 y 5. Diseño muy antiguo. Sin escaleras mecánicas ni ascensor. Espacio hay más que suficiente para instalarlos. A ver cuando."
"https://lh3.googleusercontent.com/a/ACg8ocIw1xSKAXmkqOjFrjxkUQNBFDwXx-CXiWuGt8CP-ZjYsdyhMw=w36-h36-p-rp-mo-ba5-br100","Maria Zuazo","Hace 3 años","Una zona espectacular, con todos los recursos cerca, medios de transporte, en comunicación con la M30 y pleno distrito de Salamanca. Un lugar encantador para comer rico y castizo, pasear, desplazarse facilmente, ver algunas tiendas diferentes."
"https://lh3.googleusercontent.com/a-/ALV-UjW5ljXwGeSf-4KxMZfU4nGA6DEHDVoTKIE5sAmOInBaSDlyDiM=w36-h36-p-rp-mo-ba6-br100","VRKO","Hace 3 años","They are the rock champion Ellos son los kampeones. A lo chikito.😜💯😎💯🤫…"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace 5 meses","alguien me explica que venden, llevo dos años viviendo aqui, mi madre no me lo quiere decir"
"https://lh3.googleusercontent.com/a-/ALV-UjUn8iHvDEQToKm85gy43WHZ4jDSyCs09X6cSXxbrlyZbHNzVj3CQg=w36-h36-p-rp-mo-ba4-br100","SALOMÓN PEREZ GUERRA","Hace un año","En ventas está la gran plaza de toros el coliseo mejor dicho si estás en metro llega hasta la estación ventas y ya está"
"https://lh3.googleusercontent.com/a-/ALV-UjXg8W5_e52Ljc82DO7n5Hugd6Gm8SDy6CDQixYXrxzI39piDQg=w36-h36-p-rp-mo-ba3-br100","Ekieid Jdjs (Adrián García Leira)","Hace 2 meses","La gran estación de metro de ventas una maravilla clásica"
"https://lh3.googleusercontent.com/a-/ALV-UjWUaVCOoVW1NP8VhZNkkQOybn_I405XAGEZTQkO0kp0QLjUwymbeg=w36-h36-p-rp-mo-ba5-br100","Edwin Garzon Giraldo","Hace 9 meses","Muy bonito el árbol del alumbrado de navidad"
"https://lh3.googleusercontent.com/a-/ALV-UjXn7YJU5jk6efYdW8eg85anaIsSmM3oTVfb1vuN-fQ8y7tTA5w9=w36-h36-p-rp-mo-ba6-br100","Silvia Guimard","Hace 2 años","Situada en la calle de Alcalá la Gran plaza se erige triunfante al paso de los años. Puedes pasear por los parques colindantes. Restauración en terrazas al aire libre por toda la calle. Un lugar emblemático que visitar y disfrutar de los toros."
"https://lh3.googleusercontent.com/a/ACg8ocK05ax30_na27_OKdE_KBq0yb_eNLVcRvXMssKN4hqq9shLkg=w36-h36-p-rp-mo-br100","Michael J. Wickham","Hace un año","Estoy de acuerdo con Chloe y Lucas. Hace años que vamos pidiendo escaleras mecánicas y o ascensor en el metro de Ventas. A ver si os ponéis las pilas,  Ayuntamiento!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWNnThj8Xj6Nm2KR9xnxF6wVlVpUoqQYPyVBTiO8-kfWVt4vf06=w36-h36-p-rp-mo-ba8-br100","Juan carlos G. Romano","Hace 2 años","Una estación con una salida a la Plaza de Toros de las Ventas, espectacular"
"https://lh3.googleusercontent.com/a-/ALV-UjVnwOk3tUuiVIl26FgQYPO6q2QSpDQrsnEoY90R90TjMh0SxK6n=w36-h36-p-rp-mo-ba5-br100","Edgar Alejandro T","Hace 5 años","Es un lugar que no debes perder si visitas Madrid. En metro puedes llegar en la linea 5 (verde) o la 2 (roja ). Alrededor de la plaza hay muchos bares y tabernas con comida típica Madrileña. Calamares, paella, o bocatas son un clásico y todo acompañado con un buen vino o cañas. La iluminación por la noche esta muy Bonita."
"https://lh3.googleusercontent.com/a-/ALV-UjXeyG_bIY4g46q5ADrFeCsHnVm6dRxUxHTO_eWmmnWIh9ZjIOMa=w36-h36-p-rp-mo-ba2-br100","Rafael Valero","Hace 4 años","Una belleza de plaza de toros. De las mejores fotos que tomé, fueron allí. Cerca, por Donostiarra hay muchas terrazas para unas buenas cervezas y tapas."
"https://lh3.googleusercontent.com/a-/ALV-UjVIpGRM_Lz5l2n82bJ46rds_GKU_McTjVEJC77-8wt8dHbaFyvjLQ=w36-h36-p-rp-mo-br100","ascen Matilla","Hace 6 años","Una antitaurina enamorada de la belleza de la Plaza de toros Monumental de las Ventas. Ojalá algún día podamos disfrutarla para eventos que no impliquen la tortura del también bello animal toro bravo."
"https://lh3.googleusercontent.com/a/ACg8ocKkRlZWiV0pdEx353fTVGxEicydPiO8Xu3v-T66ztxlaiwdHRI=w36-h36-p-rp-mo-ba5-br100","Maite Ort","Hace 6 años","Es un supermercado que está bastante bien. Suele estar muy concurrido sobre todo en horas clave del día. Como siempre calidad-precio correcto y bien organizado. Se encuentra a pocos metros de la calle Alcalá. El personal suele ser atento."
"https://lh3.googleusercontent.com/a/ACg8ocLOEVOUb7FRQHFGPHRl7eYkR4BaaAZLbbYK3FPwPJT-ZgjiAg=w36-h36-p-rp-mo-ba4-br100","Luis Alfonso Gramal Cabascango","Hace un año","Otro de los atrayentes turísticos de Madrid y con el eje principal taurino más que fabuloso para darse un paseo general recomiendo."
"https://lh3.googleusercontent.com/a-/ALV-UjUYmz4bbsmc6SjXA23k59ymewnULkXWIEgqrlXNH_2zfRNL9g_vVg=w36-h36-p-rp-mo-ba4-br100","Neni Blasco","Hace 2 años","Ventas es un barrio de Madrid,en el cual se encuentra la Plaza de toros, El barrio es agradable y tiene tiendas , cafeterías y muchas cosas más,es muy agradable..."
"https://lh3.googleusercontent.com/a-/ALV-UjVBypAn3l7JvN9z2-8wZM6ICCQvoX3AeZERmwaPXjUPkLLxXyr6=w36-h36-p-rp-mo-ba7-br100","Fernando Moreno","Hace 6 años","Pintoresca Plaza de Toros de Madrid. Pittoresque Plaza de Toros de Madrid. Picturesque Plaza de Toros de Madrid. Malerische Plaza de Toros de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Hace 6 años","La popular estación de Ventas está situada en la calle Alcalá, junto a la Plaza de Toros de Las Ventas, donde tiene dos bocas de salida. Se creó con la ampliación de la red de metros realizada en el año 1920. El primer tramo de la línea 2 de Metro, entre las estaciones de Sol y la plaza de Las Ventas, se inauguró el 14 de junio de 1924. Un año después, el 27 de diciembre, se abrió el Ramal de más de un kilómetro de longitud entre Ópera y la Estación del Norte (que en la actualidad es la estación de Príncipe Pío). La ampliación de la línea 2 del suburbano continuó hasta 2007 hasta la estación de La Elipa. Nada más salir a la superficie, se puede contemplar la espectacular Plaza de Toros de Las Ventas. El arquitecto José Espeliú la diseñó con un estilo neomudéjar de ladrillo visto sobre una estructura metálica. Manuel Muñoz Monasterio, a cargo de la decoración, utilizó azulejo cerámico con los escudos de todas las provincias españolas y otros rasgos ornamentales."
"https://lh3.googleusercontent.com/a-/ALV-UjXbobanH6JWNCpU2_KF47t6mdj_u3BQ1T9bdlNzJDkeU0EPV3AuBw=w36-h36-p-rp-mo-ba6-br100","Enrique López Ruiz (Kike)","Hace 7 años","Histórica plaza de toros de la capital. Más allá de los espectáculos sádicos se hacen encuentros, conciertos, etc. Aunque todavía se utilice para lo que fue concebida, merece la pena una visita si se está por la zona."
"https://lh3.googleusercontent.com/a-/ALV-UjW5i3OOG1cAAF-hpAcZyPBqHXCUv6HKVb3kAiQVHrLMMp_NBYg=w36-h36-p-rp-mo-ba4-br100","Antonio Calixtro escobar","Hace un año","Traté de buscar en una dirección que encontré en Google que era de unas fotos para promocionar 3D y él lo va a dar un lugar pero no que no termino de averiguar bien dónde es el lugar pero al lugar me tomo andando con otro lado con unas con unas contraseñas"
"https://lh3.googleusercontent.com/a-/ALV-UjVQW_GqHE5j-xZoBGCL2-kyT1D7uZLedxE4BUR16ToiHHNPwmgT=w36-h36-p-rp-mo-br100","Edu G","Hace un año","Un metro sin acceso a personas con movilidad reducida. Lugar turístico para hacerse una buena foto de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjWXoa_hifDJrtC2mV6xj8LbePYjLUlbHPBgcEs-q27IceHt6FQ=w36-h36-p-rp-mo-br100","Vamonos PRI","Hace un año","Sobre la estación se encuentra una plaza de toros en ladrillo rojo y hermosos azulejos o mayolicas en terracota"
"https://lh3.googleusercontent.com/a-/ALV-UjVmd2w8nlkmhv0KzaR_kkezF6Io_kLgOjvZotitivFfMX-LIfAICQ=w36-h36-p-rp-mo-ba7-br100","Julián Martín","Hace 4 años","Aparte de los mejores toreros y las mejores va ganaderías, es un edificio singular. Con casi 200 años, es un ir uno de los mejores ejemplos de neomozárabe. Arquitectura netamente española que fue realizada por árabes conversos. Hecha con ladrillo es realmente hermosa."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Punto emblemático ya que en la salida se aprecia la Plaza de Toros, es un lugar imperdible si visitas Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjXq-8EasUH6krxqWFOUdLDmVabT8krJLTZ4kCqAxJJ8hYPsaE-t=w36-h36-p-rp-mo-ba7-br100","Luis Morato","Hace 3 años","Estación de metro que con gran acierto continúa en el vestíbulo la estética de la Plaza de toros de las Ventas, tanto en su decoración en ladrillo como por el mural de  temática taurina y 25 metros de longitud, el cual fue realizado en 1986 por José Luis Fernández González, el mismo escultor que diseñó las estatuillas que se entregan en la Gala de los Goya."
