"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWUHwGDJ8j_3FNaLgp8OYNy3hZ06gIJNEIPnoprvCQErVuVBOTz=w36-h36-p-rp-mo-ba6-br100","AD613","Hace 5 años","Una parada de Mateo en el area de l Calle princesa.  Consta con ascensores y staff disponible en las instalaciones , siempre está limpio y también está cerca de plaza España. Metro línea 3.  Bueno que más se podría decir de una parada de metro?"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Hace 5 años","Estación accesible correspondiente a la línea 3, tiene cobertura móvil y está dentro de la zona tarifaria A. Dispone de salidas a la calle Princesa tanto pares como impares más ascensor con salida a los pares. Suele estar bastante limpia y sus escaleras automáticas funcionan correctamente."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","El nombre de la estación se debe al famoso arquitecto. Línea 3 de metro. La estación está siempre limpia"
"https://lh3.googleusercontent.com/a/ACg8ocKjOhcSp9Ki_F3ACJ0RfPPYP4sx2I8wtxH2k845Hrq9XOUB1w=w36-h36-p-rp-mo-br100","Nancy Reati","Hace un año","Estoy de acuerdo q se hagan mejoras de servicio para personas con discapacidad pero tener servicio de ascensores pero q estén funcionando pero hacer ahorros no funcionan entonces mi pregunta por q se quiere retirar espacio de acera en San Bernardo hacer obra para poner ascensor si luego no funcionan es un gasto innecesario y si más de centena de años se ha podido vivir por q ahora no me parece fatal las gestiones políticas."
"https://lh3.googleusercontent.com/a/ACg8ocJSW3hEczyKMmwt9QGkFB-TYkMxgA6A-Y1cuVr8vXa4nk2Kvw=w36-h36-p-rp-mo-ba6-br100","Maríano Fernández de la Hera","Hace 2 años","Hacia tiempo que no iba.Bien el servicio y lo que yo he comido,corazones de alcachofa y rape, estaba muy rico…"
"https://lh3.googleusercontent.com/a-/ALV-UjU3hBqAlhdhXK_oFr_V_XCKkbKsBWc59Ooma_CsVJS5HFg9lclUNg=w36-h36-p-rp-mo-ba4-br100","Pablo","Hace 3 años","La parada más inútil de la historia, tienes a 5 minutos andando la parada de Plaza Esp y a otros 5 la de Arguelles. Supongo que la hicieron para el perro de Esperanza Aguirre, que vive por allí y no puede aguantar más de 5 minutos de paseo porque ella lo ha cebado como a Gargantúa. Aún así me parece muy ineficaz."
"https://lh3.googleusercontent.com/a-/ALV-UjVr9Su8n0sncysT8oEZt9Iy8MbHCa_8PggRRoOtND7T7Dq5bIfWjg=w36-h36-p-rp-mo-br100","David Pinzon","Hace 5 años","Una parade metro normal, no muy transitada, con una línea muy completa para dirigirte a todas partes, que va desde la zona universitaria de Moncloa y arguelles, hasta el sur con villaverde alto, pasa por el puro centro con callao y sol."
"https://lh3.googleusercontent.com/a-/ALV-UjWtoDHxTJe6UjXVEI1VvZ_YDMLn3n6F7ncrc7XdjdUwG6wiK6c=w36-h36-p-rp-mo-ba6-br100","Iris A. F","Hace un año","Me queda a 200 metros la salida del ascensor, buenísimo"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Estación con ascensor. Situada cerca del Palacio de Liria."
"https://lh3.googleusercontent.com/a-/ALV-UjVinQMOPOJXFl4DGD5jgXIt7XkMtJ6ExH10kcTbH5yMgww34dyxoA=w36-h36-p-rp-mo-ba5-br100","Juan Francisco Torrejon Puerto","Hace 2 años","Me encanta    .   .   .   Es  espacioso y moderno como casi todo el metro de Madrid    .   .   ."
"https://lh3.googleusercontent.com/a-/ALV-UjXzD2TmvEagGXYEWvs3I0u-Nl03AbFa-dfqj5DE0OBPjtNZcYw=w36-h36-p-rp-mo-ba4-br100","Estrella M","Hace 3 años","Solo he ido 1 vez, poco puedo opinar, normal"
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Hace 6 años","Ventura Rodríguez Línea 3"
"https://lh3.googleusercontent.com/a-/ALV-UjU2TFM8ny9Gzgv7I8-8FBLIHWMjm5wX3omXpeVkJt12mxO_vXA=w36-h36-p-rp-mo-ba3-br100","Carla Huambachano","Hace 3 años","BONITO Limpio seguro confortable Un servicio A1 BUENA UBICACIÓN. Buen precio"
"https://lh3.googleusercontent.com/a/ACg8ocIWpIhDvnjvOP4SiL0FgZYdmAnBZgx48CLZuXrhLPmr8r3Vhg=w36-h36-p-rp-mo-ba5-br100","andres gonzalez","Hace 4 años","Estación pequeñita con cobertura y salida de la boca mirando dirección Argüelles."
"https://lh3.googleusercontent.com/a/ACg8ocLZnjUnb2ySzQMly8kbeoocQevUqqWEuSBxIchEceu2XK0-kw=w36-h36-p-rp-mo-ba2-br100","Pablo FBAUSA","Hace 3 años","Es una construcción civil bastante buena y práctica. Además, bonita."
"https://lh3.googleusercontent.com/a-/ALV-UjXetUQ9_RYeWzmN-RELRQ6ka_EeH_wiCZ7nRj1JM1oenFiQaPIJ=w36-h36-p-rp-mo-ba5-br100","Javier Velázquez","Hace 8 años","La estación más bonita de toda la red de metro de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjURfRdOV7M91araJxTGX3EQ3gQJevY9W5oF3re6SLzHPJUQqN-ELw=w36-h36-p-rp-mo-ba6-br100","Frank","Hace 6 años","Es una calle calle del distrito de Moncloa que da acceso directo al templo de Debot."
"https://lh3.googleusercontent.com/a-/ALV-UjVy7vXsvlyWP-1MqHXXdINvQB68B_CDtQ8QSNZJA_Rrs16Z0Nr5=w36-h36-p-rp-mo-ba5-br100","Carlos Diaz","Hace 5 años","Bien cuidado y con todos las necesidades, ascensor, rampas y mucho espacio ."
"https://lh3.googleusercontent.com/a-/ALV-UjWs-eLf_W8UN7y1jVMZaBnVwJKPGGTAU3K958iQTSk4h0RJRrc2=w36-h36-p-rp-mo-ba4-br100","Harold Franco","Hace 6 meses","Juzgados"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","la estacion vertura rodrigez en madrid esta en madrid españa viva rodriguez el rodriguez"
"https://lh3.googleusercontent.com/a-/ALV-UjXl_CWypUkmqlkoTH7PGGraXt2977bhsw6uu3Zu_VAAvSFSr1s=w36-h36-p-rp-mo-ba2-br100","David Palmero","Hace 7 años","Zona muy activa, con establecimientos de todo tipo. Mucho ojo a carteristas."
"https://lh3.googleusercontent.com/a/ACg8ocKVvQFnMTaja4QVYDUkPsnKfvcIWcOTV-j_4Ri8hnaFVUCHRA=w36-h36-p-rp-mo-ba4-br100","Geraldine Torrealba","Hace un año","Excelente"
"https://lh3.googleusercontent.com/a/ACg8ocLSaxyQEHj0DvlTZSyhgQ4Q8tBrObPVfjy1mkeMthREWwYVrw=w36-h36-p-rp-mo-ba5-br100","Nicolas Martin Rodríguez","Hace un año","Nada negativo que decir"
"https://lh3.googleusercontent.com/a-/ALV-UjU-tnIxH8QGGZz5XrJrPOlqqrh4pFDfze_YE8xMsmaL-5aoiDgD0Q=w36-h36-p-rp-mo-ba7-br100","Jesus Rincon","Hace 2 años","Correcto"
"https://lh3.googleusercontent.com/a/ACg8ocJACoE27Dlw_CPQ3oNk5igvr0loZcM24V3myD9c424S51nSiA=w36-h36-p-rp-mo-ba5-br100","Jose Luis López de Ayala Macias","Hace 2 años","Bien"
"https://lh3.googleusercontent.com/a/ACg8ocIsiyKp32yVl_5P3yPqnXX2tJzesK7TjrSjkQIrG7_nW-QuPQ=w36-h36-p-rp-mo-ba6-br100","Antonio Fernandez Hernandez","Hace 3 años","Una bonita área de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVqSwQ6V-Fz28RKk9lzsiAdiK6mZtrV_AHTBFTcQvwr2mQHm706=w36-h36-p-rp-mo-ba3-br100","Multiservicios El Quiñón","Hace 3 años","Bueno"
"https://lh3.googleusercontent.com/a-/ALV-UjXl7Bc9n5sB4Z0qBvxK0yUVbFruTGw99MRwvd89OfTmxGCVmee2=w36-h36-p-rp-mo-ba5-br100","Felix Carrero Román","Hace 7 años","Muy moderna y funcional"
"https://lh3.googleusercontent.com/a/ACg8ocJ3GiiT8LZL12y-519s-acRLj13xrJaVLNPDI4OROPo4r1z=w36-h36-p-rp-mo-ba6-br100","Lucia Bermúdez","Hace 3 años","Nada especial"
"https://lh3.googleusercontent.com/a/ACg8ocLPM4zis9ruCHjE_GkcRcQwHq7yUUCIf2hbVAISbofMj6tZYQ=w36-h36-p-rp-mo-ba6-br100","David Perez Martorell","Hace un año","Metro en centro de Madrid"
"https://lh3.googleusercontent.com/a/ACg8ocIdWVdz0WPy7zIHjNjOZFWSydS4WxvE2j96LIS6WrO8pf5-Cw=w36-h36-p-rp-mo-ba6-br100","Javier Muñoz Gomez","Hace un año","Buena estación de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjV-YLnlXHpckttL-nfGVaYTXu3STBv2oIt1cJpndbbz_Qb30tsO=w36-h36-p-rp-mo-ba7-br100","Marta Ruiz Huerga","Hace 6 años","Limpio y cómodo"
"https://lh3.googleusercontent.com/a-/ALV-UjV0IxZ0-nbZ8wARSVgZd0Um5mh_rjzErfV8qXqhaJO-T09uCkdZyg=w36-h36-p-rp-mo-ba8-br100","Olivier Roumélian","Hace 5 meses","La estación de metro cercana al Templo de Debod y punto de encuentro de las salidas de autobuses turísticos."
"https://lh3.googleusercontent.com/a-/ALV-UjUbuoSE4va6hhIE00I1SzuUUhUY8mRkbfudSnLWjL6vazZtEnO5=w36-h36-p-rp-mo-ba7-br100","HTC G1","Hace un año","Buena infraestructura."
"https://lh3.googleusercontent.com/a-/ALV-UjVZY0HoHOb7lzycQDWjKey0rY0ABGKAZdibLczqX3_UWre4TRE=w36-h36-p-rp-mo-ba7-br100","Urban Traveler","Hace 4 años","Bonita estación de metro en un bonito barrio."
"https://lh3.googleusercontent.com/a-/ALV-UjVXEAt65tPfp3THOynDkaH8nTYkb2xYqjgmcrpD5pBpM4EKMKwn=w36-h36-p-rp-mo-ba2-br100","Jou De Guzman “eggsjou1”","Hace 9 meses","Es necesario en muchas más temporadas."
"https://lh3.googleusercontent.com/a-/ALV-UjW5ljXwGeSf-4KxMZfU4nGA6DEHDVoTKIE5sAmOInBaSDlyDiM=w36-h36-p-rp-mo-ba6-br100","VRKO","Hace 3 años","Chachy 🙂…"
"https://lh3.googleusercontent.com/a-/ALV-UjVeeKXHg3DWq3gCc7ebzv81kQK7QRxvdnLN9m9TmOKUWumi3J3M=w36-h36-p-rp-mo-ba3-br100","Viktor Zhukovskyy","Hace 4 años","¡Buen lugar! ¡Buen lugar! Hamon es como debe ser :)"
"https://lh3.googleusercontent.com/a/ACg8ocIur0JCH07GxRFrT3Pfl89mzAgDnh9gVpGnKQUhiIjbQhfy1dk=w36-h36-p-rp-mo-ba4-br100","K","Hace 6 años","El metro llegó a tiempo y las señales indicaban claramente la salida. 10/10 volvería a salir del metro aquí."
"https://lh3.googleusercontent.com/a/ACg8ocKURJ6uWCVDwKYNFXsE3iCS15gcldrEXGxbaEZTf8auLmgJ4g=w36-h36-p-rp-mo-ba5-br100","Jorge Rincon","Hace 4 años","¡Agradable y seguro para pasear a cualquier hora del día!"
"https://lh3.googleusercontent.com/a-/ALV-UjXnO8URzvMobyADD20FGUpxAZZgSaiUoTaosVDfMwqZWwEy-STH=w36-h36-p-rp-mo-ba6-br100","Sara Balderi","Hace 7 años","Estación muy cerca de la Plaza de España"
"https://lh3.googleusercontent.com/a-/ALV-UjVAegBKlg0s2H-O4WUI8PQUHTopHFC9rcYce183ffbzmy_2CD4=w36-h36-p-rp-mo-ba5-br100","juan gatzinoa velarde","Hace un año","De acuerdo"
"https://lh3.googleusercontent.com/a/ACg8ocIVvwLkZmMrwd-AJsim6eM5mVV60jBJw3teUlmkqnNAm0bSQkK_=w36-h36-p-rp-mo-ba4-br100","Bruno Trigo","Hace 8 años","BIEN."
"https://lh3.googleusercontent.com/a-/ALV-UjXLOWvWT6KNesZ1usYHqSiP1ljQhAIU2S1rYvt7VRrPODdnBww=w36-h36-p-rp-mo-ba6-br100","Steven M.S 78","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXWd1GcBv-MsbCyYCX3tLug1bN1CFoZnAg3Bbx6HZgY9OgU-BMa=w36-h36-p-rp-mo-br100","Paola Andrea Álvarez","Hace 4 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocLqJS_GQdtnAvtjx7OT0C1ISuBXMTvYxZlEyMrxs-S27FfxjQ=w36-h36-p-rp-mo-ba4-br100","vicente gonzalez","Hace 8 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTgADtM1oIOG3qN-Ayjug__aAHir_C6f8yx318HfSjpKLw4-Gixg=w36-h36-p-rp-mo-br100","Marian Pavel","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocJdSTIJGDcDMd-Btsz_6Y68AyT8qrDPTzFXaFbY2r9Elm83PQ=w36-h36-p-rp-mo-ba3-br100","Jihong Tao","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_xsuR7E4r35lAou37f2nFa9tBX6nh5n2BKTUEfP6STvpg9nvO=w36-h36-p-rp-mo-ba7-br100","Gabriel Manquillo","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUKrDJtH89TLCK21L5iNXtTxExG0EK6yiE7_VU8kYX3f3LyZ7A=w36-h36-p-rp-mo-br100","ruth p muñoz","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWz7FQ9NZU815jhw-mGGk4ZKVzbbCWCywjDwwrd4ZAYN8JGQxzKpw=w36-h36-p-rp-mo-ba5-br100","Alessandra Ferrara","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVe0uXo4j2IKh-f670xhJAgOQWCE7rVBYLC5J-dt2BDu0PuSCxVWA=w36-h36-p-rp-mo-ba4-br100","Miroslav Vranes","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsU-bcSwYDrP9q4dvrhlFn7eqBINjjBCRPNUG-Z847a_HY2Kn-=w36-h36-p-rp-mo-br100","Anibal Melguizo","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUw00H5cgdKNqaDcVUTJutfX7evPnx2B5w1PQnwsAlmDQRdU-cl=w36-h36-p-rp-mo-ba2-br100","Reisi Alvarez","Hace 5 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJzTf2hs_6UCLDgLjNJl_KMzodAJbXy9K5qPrW-TPw_WkrJ5A=w36-h36-p-rp-mo-br100","Aitor Barreiro","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocLtmRITPAlt6ziIbCB_da2Tf96_NYFVjNATo-oq3LGtH7-V=w36-h36-p-rp-mo-ba6-br100","Antonio Medrano","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocKyG9XbXfdW_jTrmJoKbCm3E-lEeQ-_xKPDpS3MBsjweDhsyZ4=w36-h36-p-rp-mo-br100","Santo Jesus Baños","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWbUeaYbmofGNwGXhaDgB8ezwa94LhxlEnCS3s1rBq--RtkcVUW=w36-h36-p-rp-mo-ba3-br100","Alonso Gutiérrez","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocK_H_PKR4gZFY51JlvPG6I85LhUhYB6DBvF0Jb8H0NnYsRJeQ=w36-h36-p-rp-mo-ba4-br100","Gennaro Fiorentino","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJ2Usl8HSEBBp79boXJztPhfkHJ0vfbkEvQo_LOVdOdbX_vKA=w36-h36-p-rp-mo-br100","Ivan Gómez Cruz","Hace 7 años",""
