"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","La estación de metro Vicente Aleixandre es una estación de la red de Metro de Madrid, ubicada en el distrito de Chamberí. Fue renombrada en 2017 en honor al poeta Vicente Aleixandre, Premio Nobel de Literatura, antes conocida como ""Metropolitano"". ### Línea de Metro Vicente Aleixandre es parte de la: - **Línea 6 (Circular)** ### Ubicación La estación está situada cerca del Parque de las Naciones, en una zona residencial con una considerable presencia estudiantil, debido a su proximidad a varias universidades, como la Universidad Complutense de Madrid y la Universidad Politécnica de Madrid. ### Servicios y Facilidades La estación cuenta con diversas facilidades para los usuarios: - **Ascensores y escaleras mecánicas** para mejorar el acceso. - **Instalaciones accesibles** para personas con movilidad reducida. - **Máquinas expendedoras** de billetes y puntos de recarga para abonos. ### Historia Originalmente inaugurada como ""Metropolitano"" en 1987, la estación cambió de nombre en 2017 para honrar al ilustre poeta Vicente Aleixandre, que residió cerca de esta área. ### Importancia Vicente Aleixandre es una estación importante por su ubicación estratégica en una zona universitaria y residencial. Facilita el acceso a los campus de las principales universidades de Madrid y conecta con la Línea 6, una de las líneas más transitadas del metro de Madrid debido a su recorrido circular. Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, házmelo saber."
"https://lh3.googleusercontent.com/a-/ALV-UjXgGvQdAOfpgBnNHKPzUGF32qCTcsdxVzdQ6lk9uBB_tNbETv0SoQ=w36-h36-p-rp-mo-ba3-br100","Francisco Expósito Andrino","Hace un año","Las escaleras mecánicas se averían cada dos por tres y tardan de media 3 a 4 semanas en arreglarlas. Si a eso se suma la carencia de ascensores, se hace muy complicado bajar a personas mayores, gente con equipaje de viaje, con carritos de niño o con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjVmoVvJeXiNDMoHcVKBQFlRnqwqkPBZoTWqdJ0SuoqVmv4Cy_0=w36-h36-p-rp-mo-ba6-br100","Ricardo H. Ontalba","Hace 6 meses","Es una estacion de Metro. No tiene misterio. Es como todas, bien. En la salida a Juan XXIII tiene tres tramos de escalera mecánica."
"https://lh3.googleusercontent.com/a-/ALV-UjUQjlWyecibmJmbE74siVXhOMWs4RWBmt_GZY2FnvYHQAunMB0=w36-h36-p-rp-mo-ba5-br100","Victor Vergara","Hace 2 años","Antigua estación de Metropolitano. .................................................................................................... Renovada parcialmente, el cambio más notable en el interior…"
"https://lh3.googleusercontent.com/a-/ALV-UjVSzu7SiR-o4DKBpwLNUa-bqihA5WazOOb2OcvSI23DMiqUmlQ=w36-h36-p-rp-mo-ba5-br100","Álvaro Pino","Hace 5 años","Antigua parada de Metropolitano. Bocas de metro muy simples. Sin ningún ascensor para gente con minusvalías. En el mapa solo pone que hay una pero realmente hay dos. Suele estar bastante limpia para estar en un ambiente universitario."
"https://lh3.googleusercontent.com/a/ACg8ocJXoE_-DTVea3qzsjd4jk9tpoYQCvqRDLoo-rizfp1fKHEXiQ=w36-h36-p-rp-mo-br100","Teresa Alvarez Martin","Hace 2 años","Me he pasado de parada y he tenido que bajarme en esta estación para dar la vuelta. Pues eso cuesta un billete de metrobus: Cambiar de anden implica salir de los tornos: fatal, fatal."
"https://lh3.googleusercontent.com/a-/ALV-UjWc1UFsHw0MHUDdC7MxAo4HLE8kcCb27mSZ1Jx1cFnZUPgKrzTO=w36-h36-p-rp-mo-ba5-br100","Israel Mendez","Hace 6 años","Hay dos salidas de metro y no una, ambas sin ascensor y sin accesos habilitados para minusválidos. Siendo salidas que dan acceso a varias facultades y a varios colegios mayores deberían estar habilitadas y no lo están, llevan muchos años así."
"https://lh3.googleusercontent.com/a-/ALV-UjXjpbmbwv6i-7sqe3NoCngmw2ZvTVyR7b94_pvwO-tfxpRxTMHk=w36-h36-p-rp-mo-ba5-br100","Jorge DD","Hace 7 años","Sin ascensor ni por lo tanto acceso a minusválidos. Fallo garrafal en la disposición de los tornos que te puede hacer perder un viaje del metrobus como no vayas atento."
"https://lh3.googleusercontent.com/a-/ALV-UjWgZ4DTEDfn1jTRBUts5ESfXh0eBEs9Ky7plOtaMP8uLm360BDI=w36-h36-p-rp-mo-ba6-br100","Jesús Martínez","Hace 5 años","Actualmente han cambialo el nombre a esta estación de metro. Hasta el 01/12/2018 fue la estación de Metropolitano, fecha en la que cambiaron su denominación, pasándose a llamar Vicente Alexandre, para evitar equívocos con el nombre del nuevo estadio del Atlético de Madrid."
"https://lh3.googleusercontent.com/a/ACg8ocKU6yCoufU_mWXBnv-f8l_dr0Q1pbU2gf_Csmih7eZNBP0b_w=w36-h36-p-rp-mo-ba4-br100","Gustavo Aguilar S.","Hace 5 años","No posee ascensor, tiene muchas escaleras, lo cual complica el uso para personas discapacitadas"
"https://lh3.googleusercontent.com/a-/ALV-UjXP9jO32_LCZ3SXBYX8N9UpzGWa8BmNLXDMVZ_Nm7ZsW17satQ=w36-h36-p-rp-mo-ba2-br100","Julia de Miguel","Hace 6 años","Sin ascensor ni acceso de ningún tipo para minusválidos. Muy mal"
