"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXE45TQprJLaSq548jLi5CB139tdW3Nzons2tyvFNn0Vx2CKIeD=w36-h36-p-rp-mo-ba4-br100","Jesús Huélamo Cortijo","Hace 9 meses","Todos los días igual. No admite viajeros y siguiente metro en 8 minutos. Es una vergüenza. Puse un reclamación a metro y me contestaron que lo hacen porque baja el número de viajeros. Ya veis cómo está el andén, lleno. ¿Baja el número de viajeros? Del que dependa este dimensionamiento, que seguro va en coche a trabajar, que haga bien su trabajo."
"https://lh3.googleusercontent.com/a/ACg8ocJZf_HcOlzEmo3EeO4fQO7FDU5c8vVu4siaQbPJe8REEQfDXw=w36-h36-p-rp-mo-br100","Sisio Kxkdd","Hace 2 meses","Ahora mismo se quedo parado  tenemos que trabajar y cojer un tren lo perdí poe culpa de ustedes  supuestamente el más rápido"
"https://lh3.googleusercontent.com/a/ACg8ocIvg22F5XW_v79XjFEyxP0w_8MXAK43T1BS1tRmwSYWuPcVMg=w36-h36-p-rp-mo-ba4-br100","Lidia Roxana","Hace 7 meses","Es un barrio de Madrid muy viejo,estás rodeado de gente problemática. Un barrio bastante poco seguro. No lo recomiendo para vivir allí."
"https://lh3.googleusercontent.com/a-/ALV-UjXKDtxdC72AOkTE74AS17XSUxGM8ut2li0BWGwNqpxVKaS1-SyLwA=w36-h36-p-rp-mo-br100","Oscar Paya","Hace 11 meses","Sigue siendo extremadamente confuso la no conexión con el tren de Cercanías, y las pegatinas que tienen para remediar esta confusión solo ayudan a ello. Felicidades por la mala ostia."
"https://lh3.googleusercontent.com/a-/ALV-UjXLfn_FvGm7MLr8OAIns6bvOmMq3ffPE7yazf4j_siCXFeAExbx=w36-h36-p-rp-mo-br100","David Garcia","Hace 2 años","Hay Vicálvaro que grandísimo barrio en la periferia de Madrid, no obstante la semana pasada fue su 70 aniversario como barrio de Madrid lo que antes era un pueblo y al que gracias al Doctor Don Antonio de Andrés, se integra dentro de la ciudad.....si hoy lo viese vería el gran cambio que ha dado y sigue haciéndolo con sus ampliaciones de forma espectacular de sub-barrios dentro del término."
"https://lh3.googleusercontent.com/a-/ALV-UjVBJs68xeoOZFz4JJ__bv1AfUSN1G9kg5gCxWAeK_ew2rCU3kO7lA=w36-h36-p-rp-mo-ba4-br100","Salva Doménech Miguel","Hace 6 años","Estación amplia, nueva, bastante limpia y muy fácil. Accesible (ascensor de la calle al vestíbulo y del vestíbulo a los andenes). El ascensor a la calle suele estropearse con poco que llueva."
"https://lh3.googleusercontent.com/a-/ALV-UjXubUHSj09tt3LMItP-BAmYqC3hYg83g5bf3NwxkrMGVk_tpnC7Lg=w36-h36-p-rp-mo-ba3-br100","Joaquin Merchan","Hace un año","Mola,recordando viejos tiempos"
"https://lh3.googleusercontent.com/a-/ALV-UjWspqtvLIX8wCj9EqC7RtaxJcbH7YpnqR_NBmdY-al79P1h5zfX=w36-h36-p-rp-mo-ba5-br100","eduardo latorre palomares","Hace 11 meses","Bien señalizado, y bastante cómodo"
"https://lh3.googleusercontent.com/a-/ALV-UjXMR_QMdvKHvx5LXZ240pv_EM8eB8d25fGefFPt9T078fKqrBQ=w36-h36-p-rp-mo-ba6-br100","Jose Galan Sanchez","Hace 3 años","Es buen sitio para vivir buena comunicación buenos colegios y lo mejor buen gente y universidad centros comerciales"
"https://lh3.googleusercontent.com/a-/ALV-UjUALMR4LI3cJUWmHdpCOcePhiQyezNK40azqfT4RwM6DWTzlc6M=w36-h36-p-rp-mo-ba5-br100","Carlos González Duce","Hace 7 años","Parada muy bien localizable y con unos accesos muy buenos, espaciosa y limpia."
"https://lh3.googleusercontent.com/a-/ALV-UjVpcHPdqpqZzcB2C5jOR_-bIIoowXKwLym_XRr8yODModS2DbI=w36-h36-p-rp-mo-ba4-br100","Juan Jose Lopez","Hace 2 años","Un sitio bonito para visitar"
"https://lh3.googleusercontent.com/a-/ALV-UjU2d1xaGJCxIRqcMbYkC3hJn1t-Udie-2zKwZfNvfM6vT0XX5FT=w36-h36-p-rp-mo-ba4-br100","Hamilton Ramírez","Hace 7 años","El transporte de Madrid es muy bueno en comparación a otris países"
"https://lh3.googleusercontent.com/a-/ALV-UjWVv7WWmfMinQkD7p0NIjz4vBBFbDziTpUDxMY_XUgTAmEsC8JA=w36-h36-p-rp-mo-br100","Juan Carlos Sanchez Villar","Hace 7 años","Vicalvarock tiene un transporte muy bueno. Adecuado a los tiempos actuales."
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Hace 3 años","Por qué es mi patria chica."
"https://lh3.googleusercontent.com/a/ACg8ocIcd1q4cBBK2UBvlek5GYFU_BeTYC3K_8NVnfuMx0qC4WhBXg=w36-h36-p-rp-mo-br100","Iris Irid","Hace 7 años","Es un lugar muy bien comunicado con madrid centro."
"https://lh3.googleusercontent.com/a-/ALV-UjXl9Tgk9U1a97wDEetGpKKjuQpygIywSACkWd34_dzBlCQBZfn-=w36-h36-p-rp-mo-br100","Miguel Angel Molina Rivero","Hace 6 años","Está abajo del todo hay una plazoleta ahí esta la estación"
"https://lh3.googleusercontent.com/a-/ALV-UjWKnS1UDp1UtwHtPY3fmPfFH14SYIpNobLgiN_XlcrN9TwVuLW7=w36-h36-p-rp-mo-ba4-br100","Vicky SalPe","Hace 2 años","Grande y accesible"
"https://lh3.googleusercontent.com/a-/ALV-UjXIH4NcBG0t81hYjzJ3aVV_Z4dQNH3oY_dNGp5QF4npubs0gEU=w36-h36-p-rp-mo-br100","SISCO MISI NOA","Hace 7 años","Muy bien informado"
"https://lh3.googleusercontent.com/a/ACg8ocILmvp93mqrUKcAaLaD2Irp6xW37aBzpAKZ9ekFHXjRxYD7UQ=w36-h36-p-rp-mo-br100","Lalalla Pepper","Hace 4 años","Ver df"
"https://lh3.googleusercontent.com/a/ACg8ocL0ce77pVkv39aodchjtoM-oOuSn4FCor38Rg7L8KQAS9QJEA=w36-h36-p-rp-mo-br100","Gema Fernandez Bautista","Hace 6 años","Tienen que mejorar"
"https://lh3.googleusercontent.com/a/ACg8ocLqRo6oRohR1Y5f2i43gynNhaxLSRBLmxTgT4Fz30QCSQvgYw=w36-h36-p-rp-mo-br100","Julio Fosg","Hace 7 años","Mejor imposible"
"https://lh3.googleusercontent.com/a/ACg8ocIR0USMmL57m2uJ1iXallepxO1iwiwDOACbBBtncbZgGxz-iN8Q=w36-h36-p-rp-mo-ba4-br100","Diego Chaparro","Hace 3 años","Una estación más"
"https://lh3.googleusercontent.com/a-/ALV-UjWXqmeXutXDjA2jnAvzM9wFT-VoxESybk9oq4Gdwq0wuhu_0lfj=w36-h36-p-rp-mo-ba4-br100","Alonso QL","Hace 6 años","Buena estacion"
"https://lh3.googleusercontent.com/a-/ALV-UjXvVUL07cHPlxfUc5T7sOWLxmfX1OWpWXYQanc-nbTcjHYPerX8YA=w36-h36-p-rp-mo-ba5-br100","Javier De Blas","Hace 8 años","metro"
"https://lh3.googleusercontent.com/a/ACg8ocJ5OKioV-FBAJadp9wNh5YXq9Xo96fqfbKAGg0J9HxK1BtCzA=w36-h36-p-rp-mo-ba6-br100","Jose G.F.","Hace 8 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9Haguc9g-4WGZorP7X7BRKG5JO0nCLlWfuqOTP_zFokdt2604=w36-h36-p-rp-mo-ba5-br100","JUAN FRANCISCO Osuna","Hace 8 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocJYvTZtg-YZd5enBbhPNVrZAZSObuJJXKZ0s6CbhinkQDU8-g=w36-h36-p-rp-mo-ba4-br100","Pepa Solis","Hace 10 meses",""
