"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVdYzCSFKWHtFMvn_ohoWImOm9TtbpaqOFcPY-ORc9tO4yDagrW4w=w36-h36-p-rp-mo-ba7-br100","LA NENA VIAJERA","Hace 2 años","He vivido 5 años en Puente de Vallecas y nunca me había acercado a conocer el Casco Histórico de su villa, hoy me pillaba cerca y he ido a ver algunos de sus murales y ya de paso el centro."
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Hace 4 años","Estación de #metro Madrid correspondiente a la línea 1, es accesible para personas con movilidad reducida, cuenta con ascensor y escaleras mecánicas. Tiene dos salidas al Paseo Federico García Lorca y Plaza Sierra de Gador. Está dentro de la zona tarifaria A, suele estar limpia y en buenas condiciones."
"https://lh3.googleusercontent.com/a-/ALV-UjWLUJm5mrGB_D7m9tcWyEVLF3bDQBiKKmdlfC8f71jl2_CzaP3l=w36-h36-p-rp-mo-ba5-br100","Jesús Grande","Hace 3 años","En la presentación de un acto por el Orgullo 2021 en Villa de Vallecas en el que se han dramatizado poemas de Lorca, Cernuda, Gloria Fuertes, Óscar Wilde y Jacinto Benavente. Con la presencia de todos los representantes de la Junta de Distrito, menos los de siempre (tampoco se ha notado). Encantado y muy contento."
"https://lh3.googleusercontent.com/a-/ALV-UjVrKU0qjSzZiYB961HUI7ALnZPHAEUjE5n8VMgMoHU6gKQypgmF=w36-h36-p-rp-mo-ba3-br100","Óscar C.","Hace un año","Gran distrito de Madrid, en la zona sureste de la capital. Entre el Ensanche, Santa Eugenia y el pueblo, da gusto vivir aquí. No confundir con Puente de Vallecas, pues no tiene nada que ver un distrito con otro."
"https://lh3.googleusercontent.com/a-/ALV-UjXEtA2Ob9T1ujtHcDTO1f-J5uYKJzONbS1AHj_EuxoznJ3yKrF-TQ=w36-h36-p-rp-mo-ba4-br100","Jorge Velarde","Hace 4 meses","Excelente lugar con excelente historia"
"https://lh3.googleusercontent.com/a/ACg8ocJcCCj3DND_l0Xu_nXsppeGnDjBV8hTEF0iSFqx8oG6SESK2g=w36-h36-p-rp-mo-ba4-br100","R Castello","Hace 4 años","Es un barrio de toda la vida, tiene mucho encanto. Las personas mayores en sus bancos.. habría cosas que mejorar, pero aún así a mi me encanta pasear por la villa y su ambiente familiar."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 4 años","📌 Tiene varias salidas y fácil acceso para personas con movilidad reducida con ascensor. #juliodiarte…"
"https://lh3.googleusercontent.com/a-/ALV-UjW4j8MgZhVz6GuGxsz8qa76XJ-lGDvusGIU6UdCdByC4DRlchD8=w36-h36-p-rp-mo-ba5-br100","Carmen Coelho","Hace 2 años","A la estatua del Oso y el Madroño de Madrid le ha salido competencia. Desde hoy se gestan ya en un taller 40 réplicas exactas del emblemático monumento de la Puerta del Sol. En diciembre formarán parte de una exposición en el centro cultural Matadero y en 2022 ocuparán de forma temporal los lugares más emblemáticos de Madrid para el disfrute de los ciudadanos. Las nuevas representaciones tienen más color: una está dedicada al metro de Madrid por su labor esencial en tiempos difíciles; otra pone cara a las profesiones que estuvieron en primera línea en la pandemia, una ilustra la espera de los vecinos en los balcones; otra más refleja un cielo azul de esperanza; y todas transmiten el mismo sentimiento: gratitud. La iniciativa responde al concurso de diseño amateur ¡Muchas gracias, Madrid!, un certamen que invitaba a la ciudadanía a rediseñar el Oso y el Madroño para homenajear a las personas y colectivos que lucharon y luchan contra la pandemia. El concurso, organizado por EL PAÍS y la cadena SER en colaboración con el Ayuntamiento de Madrid, recibió cerca de 500 candidaturas de entre las que el jurado eligió este miércoles la ganadora y los 39 diseños que la acompañarán en su exhibición por la ciudad."
"https://lh3.googleusercontent.com/a-/ALV-UjUi9V1WsYHU8ew0KQ9Xi3Up2lIMhyvt1avQxEX2mPk92Jleihmc=w36-h36-p-rp-mo-ba5-br100","YURY GONZALEZ","Hace 2 años","Excelente lugar para compartir con familiares y amigos. Me encantó la limpieza y orden de las calles y sus edificios muy lindos"
"https://lh3.googleusercontent.com/a/ACg8ocJpC4R7bmJpsVVIhmtuyvrfQg4I0HfHn1UjdatQ4TtX76Z1kA=w36-h36-p-rp-mo-ba5-br100","Andrea Jiménez","Hace 6 meses","Estación de metro sin seguridad. Gente fumando en el andén."
