"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWESqM8sx0NnXJy8ohT9btHT5B1XPoTdMjWdnJZHeZxQ7W1fmLM=w36-h36-p-rp-mo-br100","Jhon jairo Jaramillo","Hace 2 meses","Más de 40 minutos para que llegue el tren? Les parece justo, voy para el trabajo, y mucha gente igual, y muchas veces es lo mismo siempre, pésimo servicio cada vez más, todos pagamos"
"https://lh3.googleusercontent.com/a-/ALV-UjUm85vOUPCnhIWG64maRKiOHyQL9fzB41l_HSQR_zINwxzgW9E=w36-h36-p-rp-mo-ba3-br100","Coy Yana Zborshchyk","Hace 2 meses","14.07.2024 Por cortes de linea C5 debería tomar el C4 para llegar a atocha pero eso está bien, no pasa nada. Lo que no está bien es: 1) el C4 se ha ido justo cuando yo estaba subiendo al andén después de bajar del C5 2) el siguiente llegó en 24 minutos."
"https://lh3.googleusercontent.com/a-/ALV-UjVY25EoSHZ7cCxubrah4ZBH-OUYIRYkdnHJzIxYxgFfvODRaZ1G=w36-h36-p-rp-mo-br100","Sara","Hace un mes","Los trenes bien , los andenes , plataforma etc. Lo q si el ascensor que da a la salida de Domingo Párraga un asco, horror 😭. Nadie lo limpia. No sé qué pasa, porque no hay un mantenimiento, quien se encarga de ello Es q no hay nada nadie???? No lo entiendo 😔😔"
"https://lh3.googleusercontent.com/a-/ALV-UjXSPkXFoU9mejEUNqhx_89MtLA09GWrvc7t1YPBaRe0jw2-gDqk=w36-h36-p-rp-mo-ba3-br100","julian carbonell","Hace 3 semanas","Todos los días, hago usó tanto del RENFE como el Metro, desde Villaverde Alto hasta Atocha y Atocha Las Suertes , hay muchas FALLAS EN EL SERVICIO tanto en el trayecto como en las unidades, LOS TRENES Y METRO en muchas oportunidades no tienen AIRE ACONDICIONADO , ningún tipo de ventilación, se sugiere prestar más. Mantenimiento a las unidades"
"https://lh3.googleusercontent.com/a-/ALV-UjXxRMaK_514vRo-kx_Wa3SlRbzCSPrh4l64vXiD-pjqcbLrmF84=w36-h36-p-rp-mo-ba4-br100","Andrea","Hace 2 meses","Estación que cuenta tanto con metro como con cercanías, cuenta con ascensor y escaleras mecánicas que es de agradecer, ya que otras estaciones no tienen. Lo malo… Actualmente hay un tramo que está en obras y al menos desde Atocha hay que estar muy pendientes por qué via va a venir porque no avisan. Al llegar y bajar del cercanías, para nuestra sorpresa, estaba cortado el túnel que va a la salida y hay que ir hasta el otro andén y bajar para salir por la boca del metro, un poco mal indicado para quienes van por primera vez a esa zona. Además, esperando para coger el cercanías a la vuelta, nos dimos cuenta que los indicadores de tiempo del cercanías no funcionan, por suerte tengo la app y pude mirarlo, pero hay mucha gente que no la usa y por tanto, deberían arreglarlos."
"https://lh3.googleusercontent.com/a/ACg8ocJy1pT3Pfrq9a5xsFb3dqj27A7JmIABFYYfjIW0nBOpjzqFYw5Y=w36-h36-p-rp-mo-ba3-br100","Luis Durán","Hace un mes","Llevan media hora diciendo que lleva 25 minutos de retraso. Me c en la p de Oscar Puente"
"https://lh3.googleusercontent.com/a-/ALV-UjUcljmBH87Z4sXNjVtPu3a-vL73KOhUN_AeO01T6-J5BcVw8YY=w36-h36-p-rp-mo-br100","Carlos Villar","Hace 3 meses","QUE NADIE VAYA BUSCANDO EL PARKIN QUE PONE EN EN CONSORCIO DE TRANSPORTE, PLANOS DE METRO Y CERCANIAS. NO EXISTE, PERO QUEDA MUY BONITO EN EL PAPEL. EL PARKING DE TRESCIENTAS Y PICO PLAZAS, SE QUITO AL CAMBIAR LA ENTRADA ANTIGUA DE TREN Y METRO POR LA ACTUAL, HACE MUCHOS AÑOS, LOS QUE LLEVAN LAS GENTES DE VILLAVERDE VIÉNDOSELAS MUY MAL PARA APARCAR TODOS LOS DIAS."
"https://lh3.googleusercontent.com/a-/ALV-UjWXEzIMYk3mHSHIbOFI5pk94Uc337GHc-oT1oWfiUBhsuXfh6Q=w36-h36-p-rp-mo-ba4-br100","Miryam Gómez","Hace 7 meses","Ya está bien...ya les vale, 40 minutos de reloj esperando un tren que viene desde Madrid hacia Fuenlabrada, no son capaces de avisar por megafonía, la intención es pésima, el servicio deprorable, cada día el servicio de Renfe deja más que desear, los indicadores de la estación no prestan el servicio debido, entiendo que cada día la gente use menos el tren y nos quieren convencer de usar transporte público, pero no sera a cualquier precio, pagamos por un servicio que cada día se descumple de cualquier manera. No me extraña que cada día las personas utilicemos más el metro y menos el tren."
"https://lh3.googleusercontent.com/a/ACg8ocItpMZiN4sAdiwZ6pzBE8UAByoavAWWePFeRI5BZLzZYksUFg=w36-h36-p-rp-mo-br100","David di donna","Hace un año","Que impresionante el día 15/10/2022 me dirijo a la Serna de Fuenlabrada y el tren a  tardado más de 40 min para llegar a villa verde alto esto es increíble desde las 18:50 y son las 19:30 y aún no llega qué mal servicio"
"https://lh3.googleusercontent.com/a/ACg8ocIqtkMEyYy8pBet_77LBxnK-494YNtqnja10GhMIDFcifHwyw=w36-h36-p-rp-mo-br100","Silvia","Hace un año","Es una estación que cuenta con metro y tren para llegar al centro de Madrid, necesaria para ocio o para ir al trabajo al centro. El acceso a la estación es INSEGURO, las personas que  vamos pasamos miedo en muchas ocasiones, los vigilantes no dan a basto y la policía en pocas ocasiones se asoma con la situación tan crítica que hay."
"https://lh3.googleusercontent.com/a-/ALV-UjXSNOvhuYP6EojdS1-mxSsee7H0YIWC0CnfGcbTT0ZlucSvbvdqRQ=w36-h36-p-rp-mo-ba6-br100","Marie .Cesario","Hace 2 meses","Buena señalización y fácil acceso. Sin mucho más que agregar."
"https://lh3.googleusercontent.com/a-/ALV-UjVBycTk-lBSJNHG5LlLC1gQoemEHzxVaEyZYjmjGch_Do3ZIRtH=w36-h36-p-rp-mo-ba3-br100","Marcela Paoli","Hace 8 meses","Rectifico: hay zona de aparcamiento para coches de personas con movilidad reducida. Por lo demás, Villaverde Alto, para los que utilizamos el transporte público, es un punto estratégico para comunicarnos con otras zonas de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjV7jNx0QEWA32AIovvdj0BHSMnB73gDTdEZFTC0EeWpkEZS3eF0=w36-h36-p-rp-mo-ba4-br100","cesar junior","Hace 6 meses","Me gustó mucho porque cuenta con RENFE y METRO al mismo tiempo"
