"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 5 años","La estación es grande. Tiene 2 salidas en la misma calle, una enfrente a la otra. También dispone de ascensor para gente con movilidad reducida. La estación suele estar limpia. Pertenece a la línea 3 de metro. Según sales de una de las salidas está el media markt. También tiene un intercambiador a pie de calle de buses interurbanos. Van a Getafe, Leganés, Pinto, Valdemoro, Ciempozuelos y Aranjuez (estos últimos aquí no tienen cabecera pero tienen parada)"
"https://lh3.googleusercontent.com/a/ACg8ocIQ-MG6bNELKXWULmNEhn2jSV0ew6J8pR6nfHLSpmcBfcaZRw=w36-h36-p-rp-mo-br100","JULIA NAVARRO","Hace 4 meses","El lugar super limpio. La hamburguesa genial. La cajera Lizeth muy amable."
"https://lh3.googleusercontent.com/a-/ALV-UjUUwlb7r_dwg-yCgXAzBLf4OnKzSV7QPzam8wFGdiu1pwEFqd8T=w36-h36-p-rp-mo-ba5-br100","Victor manuel Salgado Alvarez","Hace un año","Metro de Madrid,si zona sur pero Madrid Sur ,adoptado a personas con discapacidad tanto ascensor y escaleras mecánicas y seguridad y buena cartelería ,para mí es como usuario diario estoy satisfecho con parada de metro y encima arriba ay buses de emt y interurbanos por fa el sur y centro de Madrid,un buen sitio de comunicaciones y si el metro es villaverde bajo cruce,y media Mark."
"https://lh3.googleusercontent.com/a-/ALV-UjXHhwJVIp3-4c4pN1luJ5FAePv6wDeVuwnCaQLy-eMiBY6oF-g0=w36-h36-p-rp-mo-ba5-br100","OMA MA","Hace un año","Grande, moderna, práctica, espaciosa, accesible a PMR... de las que se hicieron en época de bonanza económica a principios de siglo."
"https://lh3.googleusercontent.com/a-/ALV-UjX42mT4ANWgna8iCnX3T8nul9w3VDItP_TExk5zABmu5l8XMCe7=w36-h36-p-rp-mo-ba4-br100","Carlos Ortega","Hace 6 años","Excelente estación de metro al sur de Madrid, bastante cuidada y con acceso para personas discapacitadas. En la planta superior hay máquinas del metro para la recarga de los Abonos y venta de tickets. A nivel de calle hay diversas paradas de rutas urbanas e interurbanas que te conectan a diversos sitios incluido el parque Warner"
"https://lh3.googleusercontent.com/a-/ALV-UjXWQmv9rIxc3f11e2v28yFMxjVTyrdINkzRyZvk9-puWn3abVgQ=w36-h36-p-rp-mo-br100","adripelii","Hace 6 años","Esta bien pero podrían poner menos escaleras,que halla guardias en los trenes para ceder el asiento si es necesario,que halla más trabajadores en atención  al cliente y que tengan más limpias las entradas."
"https://lh3.googleusercontent.com/a-/ALV-UjWc5yCDzI5_VaAB4tjrkFZgkL3pDIJAMldDC5SEojftbNYP3IMA=w36-h36-p-rp-mo-ba4-br100","carlos palancar calvo","Hace 7 años","Bien pero los bares esta cerrado por la noche"
"https://lh3.googleusercontent.com/a/ACg8ocJjHwrwlmKoXsrg-k9bQEJ-Pj_4IhY2Z1sFr58bkPXV62f__g=w36-h36-p-rp-mo-ba6-br100","Francisco Jiménez Gutiérrez","Hace 7 años","Una estación bastante nueva y bien señalizada. Yo iba a trabajar directo y cada año el metro tardaba unos minutos más, efecto de la situación económica."
"https://lh3.googleusercontent.com/a-/ALV-UjWGoYyknpP0gD7-7W4wYe66zYSWbjjvdWNC-xA79oALIxN6ul_A=w36-h36-p-rp-mo-ba4-br100","Mercedes Baca Garcia","Hace un año","Amplia estación con acceso a personas con movilidad reducida a traves de ascensores muy rápidos."
"https://lh3.googleusercontent.com/a-/ALV-UjXVr8jmp9tSwrEvvxkZIH1670v2zMlMGGvxdwP17dUDcnRLF03X=w36-h36-p-rp-mo-ba6-br100","Francisco León","Hace 3 meses","Muy desmejorado."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Nos deja muy cerca del centro de especialistas médicos de Villaverde"
"https://lh3.googleusercontent.com/a-/ALV-UjUIee6EcVVUtLOrrqhNhTSr5VNaFRBFhNsRKJosYFtV4rVPSNqLRA=w36-h36-p-rp-mo-ba5-br100","ReG","Hace 11 meses","Hasta los cojo….de aquí la mascarilla solo para unos y otros hacen lo que les sale de la p…..mas seguridad y multas"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Hace 8 años","La estación de Metro de Villaverde Bajo - Cruce fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra junto al establecimiento de Media Martk de Villaverde y junto a un intercambiador de autobuses que cuenta con 17 dársenas. Los autobueses con destino al Parque Warner inician aquí su recorrido."
"https://lh3.googleusercontent.com/a-/ALV-UjVtWDnWxubo-FD8IjAhdcLSof8vvF7rZD3Xu4aU3jlPX5l3nkvd=w36-h36-p-rp-mo-ba5-br100","Alberto Cartier","Hace un año","Es una estación de metro, no tiene mucho que se le diga. Sin personal, creo"
"https://lh3.googleusercontent.com/a/ACg8ocIU57Bl556fYCI5bCYX_BAi6olEikHA0h0d5Pb75vzeTtDt0-p4=w36-h36-p-rp-mo-ba6-br100","Angiedel","Hace 2 años","Depende de la hora es un poco caótico,pero esta muy bien comunicado y tiene fácil acceso"
"https://lh3.googleusercontent.com/a/ACg8ocIAKmgc8K5cHr74dptYEmgyzUPXh1bXNzNNDu2X4LIjzmP1HQ=w36-h36-p-rp-mo-ba6-br100","Rosa Maria Rodriguez De Arriba","Hace 4 años","Porque está en una linea muy centrica y útil y porque siempre encuentro aparcamien tyo cerca del metro"
"https://lh3.googleusercontent.com/a/ACg8ocI_i21j-2fA64XkMbA35iryG2cMDgxUJ3pLl2Vgnp8ntEfppQ=w36-h36-p-rp-mo-ba6-br100","Piedad Paniagua","Hace un año","Allí donde se cruzan los caminos, puede coger bus o metro, depende donde te dirijas la opción que te venga mejor."
"https://lh3.googleusercontent.com/a/ACg8ocLV2ERg0-H3tPuFdd2vHuvLJ4KlzUUqcCHa_p8H-J5wCPTDJQ=w36-h36-p-rp-mo-ba4-br100","Jose Valverde","Hace 7 años","El metro te deja cerca del centro de especialidades y tienes enfrente el Media Mark, cómodo si no te gusta el mogollón del trafico."
