"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 3 meses","Es una estación medió moderna, muy amplia con solo una línea de paso"
"https://lh3.googleusercontent.com/a-/ALV-UjXHw9raQ01xxWxlLJtKC4bRzAvrYLoequ20AaIIZFjBYRs-4zc=w36-h36-p-rp-mo-ba4-br100","Jose Carlos Rodriguez Biado","Hace 6 años","A ver cuando se dignan a que haya cobertura en toda la línea 9. Aquí no hay"
"https://lh3.googleusercontent.com/a-/ALV-UjWby7_BNwEkzVljJUVi9duEDACxlejWzxhGP5-PSuRagtmhKI3AIg=w36-h36-p-rp-mo-ba6-br100","juan carlos hurtado delgado","Hace un año","Es una buena estación del Metro de Madrid. Al final subes o bajas andando, aunque sea poco. Pero está limpia y las escaleras funcionan. Los trenes pasan a su hora."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Solo le falta un buen ascensor para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocLD-DX2EyenfYYDVJk6upsIUzS-bdfqf27gSXDSrYtCLwzf_Q=w36-h36-p-rp-mo-ba6-br100","Giovanni Capriulo","Hace 6 años","Bastante lenta como linea y lo peor, sin cobertura telefónica. Si sucede una avería en el metro o tienes una emergencia, el caos es garantizado."
"https://lh3.googleusercontent.com/a/ACg8ocKMhfux4HgvneAfSijc1pIfzPw9sTn7hQ4XrHfQd4Koiojocw=w36-h36-p-rp-mo-ba6-br100","J. Noir","Hace 7 años","Acceso de metro por Vinateros junto al centro de día sin personal de metro. Estación sin cobertura móvil. Ésta estación no tiene ascensor ni está habilitada para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjXcKTmsVW_bYxwlOpYdFy-QESmPmEBOXgMEBA_aO-iNRJmU2Ls=w36-h36-p-rp-mo-ba3-br100","Raúl","Hace 5 años","Cuando Jorge, mi pareja, pasamos por allí, nos quedamos patidifusos al comprobar cómo estaban tratando a un pobre mendigo. Horrible escena."
"https://lh3.googleusercontent.com/a-/ALV-UjUYggWlwiX27cxBHdBcRyAGrRUlFUFaOo1KWtPhOPseXs6O5x18=w36-h36-p-rp-mo-ba3-br100","Elizabeth parábola","Hace 3 años","Dios 4 me dejaron 1:00 sin poder llegar al trabajo de lo Lleno ufff. Cada 12 minutos poner más ."
"https://lh3.googleusercontent.com/a-/ALV-UjXkElzfd1fqqf55cVRB4iJ89eq5iq4DPWGSau6x-xAxkAzcSfUCvA=w36-h36-p-rp-mo-ba4-br100","JM","Hace 8 años","Estación de metro de la línea 9 en el barrio de Moratalaz. En una de sus salidas se puede encontrar una biblioteca municipal."
"https://lh3.googleusercontent.com/a-/ALV-UjX64ZXZEOXDlISFWwwKB0yDwRd72UtYhr3UNrm7snz1ux31JdIP=w36-h36-p-rp-mo-br100","Irene Durán","Hace 7 años","No hay nadie en taquilla. La máquina para pagar en efectivo no funciona, solo la que permite el pago con tarjeta."
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Hace 6 años","Estación de la línea 9 de metro, máquinas autoventas, escaleras automáticas, megafonía, indicadores todo suele funcionar perfectamente."
"https://lh3.googleusercontent.com/a/ACg8ocJkFR4Quk8YuK_eKcZ6gosG0HEkWkQMgR5JSUdVidGnCUHeYA=w36-h36-p-rp-mo-ba4-br100","Leonardo Martinez","Hace 2 años","En invierno barrio residencial excelente rutas"
"https://lh3.googleusercontent.com/a-/ALV-UjUzSlXr_gVaPR6elMtN_na-DtpWiLS3sQMDlKqEXEKB0x9Q5nV9=w36-h36-p-rp-mo-ba4-br100","Eduardo Martínez","Hace 7 años","No tiene cobertura a la red de datos móvil"
"https://lh3.googleusercontent.com/a-/ALV-UjV0_qZcD0ye-Z2Px9ivwBwVsuLMJtYV-qDldODEN3Doksrz7mI=w36-h36-p-rp-mo-ba2-br100","Santiago Lago","Hace 6 años","Solitaria y con muy baja frecuencia en fines de semana."
"https://lh3.googleusercontent.com/a-/ALV-UjUuZGVImSv4r5m_hdCdjVZuoHlDTHO1WF7a2yJFD3ZXWddM0hw=w36-h36-p-rp-mo-ba3-br100","Ismael Pertiñez Jimenez","Hace un año","Fisio terapia cervicales"
"https://lh3.googleusercontent.com/a-/ALV-UjUAh-a6VyphihrAXBFs1K9uo3U7Ra2LuFqGLyOGjyTjThrLh-lY3g=w36-h36-p-rp-mo-ba6-br100","Angel Patricio Auquilla Vázquez","Hace un año","Muy bonito"
"https://lh3.googleusercontent.com/a-/ALV-UjXHFKXH3MRcr45ZJiiNBbcoakFFRuXMBrD9F8bGqPG4E3VQcIM=w36-h36-p-rp-mo-ba4-br100","Francisco Lominchar Arévalo","Hace 9 meses","Una estación mas"
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Hace 2 años","Un poco masificado."
"https://lh3.googleusercontent.com/a-/ALV-UjWPTupa3jAHCUm-rBO_SW-0cspPhvIcmqnjM87pJ7bQHoX2hrIe=w36-h36-p-rp-mo-ba4-br100","Jaime Noriega","Hace 3 años","K precios!!!!"
"https://lh3.googleusercontent.com/a/ACg8ocIHwPB28Rntt4SQehF9z-GrdF9-40eA1FE0CCUt-9oxjeqzHn_J=w36-h36-p-rp-mo-ba5-br100","Inna Semenova","Hace un año","👍…"
"https://lh3.googleusercontent.com/a-/ALV-UjXv9AZ6eVabroMOI-7O5mqEgxHjQL6KLtRNuT9FQhyej9lWo4W7=w36-h36-p-rp-mo-ba3-br100","Concha Martinez-Fresneda","Hace 7 años","Estupenda terraza!!!!!"
