"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO VISTA ALEGRE SE ENCUENTRA EN EL DISTRITO DE CARABANCHEL, AL SUROESTE DE MADRID. ESTA ESTACIÓN FORMA PARTE DE LA LÍNEA 5 DEL METRO, UNA DE…"
"https://lh3.googleusercontent.com/a-/ALV-UjWjT4hav9VVLhFt_TcC40cymNvnGYOAazyxzXe5KP74swveVcHd_g=w36-h36-p-rp-mo-ba6-br100","Jose Ricardo Nieto Primera","Hace una semana","No tiene acceso para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocJGVuoHX8HHSt1aXWXcPJbbjIZl6i92ZHTUbBt546DpbGvn-Q=w36-h36-p-rp-mo-br100","Mirtha AG","Hace 6 meses","La tienda muy bien ubicado y los personales son muy amables y atentos y tiene buen precio y calidad"
"https://lh3.googleusercontent.com/a/ACg8ocKOh9t2qgTBFvo_f0xYWk_RU6oQq_j5o3klTq3tSb8Gj6MH5g=w36-h36-p-rp-mo-br100","Hedera Helix","Hace 10 meses","No tiene ascensor, es algo que le falra a muchas estaciones de la línea 5 lamentablemente. Tiene dos salidas, una de ellas da a la plaza donde hay mucho movimiento,"
"https://lh3.googleusercontent.com/a/ACg8ocKXCbA9nS-RATIXAfKY4sfEJS7Pr6DLjRehMCEgfsGbYnfH=w36-h36-p-rp-mo-ba4-br100","Manuel Gomez","Hace un año","Céntrico,que puedo decir del metro de Madrid, Única pega de esta boca demasiadas escaleras debería ser más accesible para personas con discapacidad"
"https://lh3.googleusercontent.com/a-/ALV-UjVvPM93_CbqpT142d2w-EWXDq9T2iZho-QDIOuwJrbkf9-MQ19NZg=w36-h36-p-rp-mo-ba4-br100","Mª Teresa González","Hace 2 años","En el metro de Madrid siempre sucede lo mismo y se resume en la frase que dice “todo es susceptible de mejorar o de empeorar”. En este caso mejorar. Pueden mejorar horarios, frecuencia de metros, etc"
"https://lh3.googleusercontent.com/a/ACg8ocLRMBb47GHJTTYwb7ADRhiMLkGG1WxsRgoJLcfFUNoJuKPylQ=w36-h36-p-rp-mo-br100","Vicente Porras","Hace un año","Las escaleras de salida de esta estación son penosas por su altura, no accesibles para personas con discapacidad."
"https://lh3.googleusercontent.com/a-/ALV-UjWYZL6kT92tDF8wFbje4t9mzVC8GT_PrD6qmBrrDfWrVkdciK-Dvw=w36-h36-p-rp-mo-ba4-br100","Miguel Angel Robleda Cedenilla","Hace un año","El metro, por lo general, está de cine. Las veces que he estado en Madrid siempre lo uso, es muy barato y rápido para desplazarte por la ciudad."
"https://lh3.googleusercontent.com/a/ACg8ocJx3VFgqTGdH5JsPrJCILCWgt_qn6Ka9PI74sPN1bKwWGhKEQ=w36-h36-p-rp-mo-ba6-br100","Salva Arellano","Hace un año","Excelente local para conciertos. Se ve y se oye muy bien, tanto en pista como en grada."
"https://lh3.googleusercontent.com/a/ACg8ocILHBXl2Re0V2g4O0txaVdKFRAvoQn9arWka2CzTzROCU-IBA=w36-h36-p-rp-mo-br100","Eva isabel García de la fuente","Hace un año","Techos muy bajos. Todo escaleras. Y ningún ascensor"
